"","precint","hispanicStopRatio","label"
"1",1,2.96364617485,1
"2",5,6.67736201749167,3
"3",6,4.24480349728182,3
"4",7,1.77571770117,1
"5",9,3.18073208448,1
"6",10,1.67501708141111,1
"7",13,3.74611351328667,3
"8",14,2.71800811954615,1
"9",17,5.15332903566154,3
"10",18,2.65492921140769,1
"11",19,8.42118739675757,3
"12",20,4.05621877734286,3
"13",22,0,1
"14",23,0.821861546033333,1
"15",24,2.31876926658333,1
"16",25,0.767172454936364,1
"17",26,2.03447672167,1
"18",28,1.04198328122,1
"19",30,0.9340891406,1
"20",32,0.65343455944,1
"21",33,0.973663016654545,1
"22",34,4.96498616927619,3
"23",40,0.754530189790909,1
"24",41,0.679049599821429,1
"25",42,0.597378975635294,1
"26",43,0.746862550494595,1
"27",44,0.793105772805882,1
"28",45,1.01028469978667,1
"29",46,0.769885485328,1
"30",47,1.27784892459565,1
"31",48,0.78386379118,1
"32",49,1.03146596946111,1
"33",50,1.75351436576,1
"34",52,1.13625825949286,1
"35",60,63.0976982909584,2
"36",61,4.37761415476,3
"37",62,3.21946862223559,1
"38",63,2.10589743125106,1
"39",66,8.27191804539483,3
"40",67,0.770453672556522,1
"41",68,3.01490236396889,1
"42",69,1.40252743564857,1
"43",70,6.91801602397805,3
"44",71,0.987725403134615,1
"45",72,1.74193827980606,1
"46",73,0.616100579636,1
"47",75,0.742951779903774,1
"48",76,2.18023977344286,1
"49",77,1.00261910606667,1
"50",78,2.53146666409444,1
"51",79,0.923340987128571,1
"52",81,0.657020654716667,1
"53",83,0.751023472331035,1
"54",84,2.17679278345,1
"55",88,1.00541702256842,1
"56",90,2.85459368758965,1
"57",94,3.12324897073889,1
"58",100,6.98674605212308,3
"59",101,0.554855088283333,1
"60",102,1.85786278508627,1
"61",103,1.64603795986333,1
"62",104,1.67834502220167,1
"63",105,1.80054381493143,1
"64",106,1.25800234537632,1
"65",107,1.69883536828,1
"66",108,1.74155529817027,1
"67",109,3.65355431920656,3
"68",110,1.95621232246452,1
"69",111,4.18664631184,3
"70",112,2.98950839471429,1
"71",113,2.34003620788085,1
"72",114,1.69021432291129,1
"73",115,1.28595069067568,1
"74",120,1.3915665889913,1
"75",122,1.60191611634773,1
"76",123,1.10036760696111,1
