"","precint","blackStopRatio","HispanicStopRatio","otherStopRatio","label"
"1",1,18.8673078339857,2.96364617485,0.854623674185714,1
"2",5,52.1141417559667,6.67736201749167,0.506410490166667,1
"3",6,48.3954444837545,4.24480349728182,0.885014212490909,1
"4",7,7.63685844244,1.77571770117,0.64088555025,2
"5",9,6.57601774876,3.18073208448,0.41332862394,2
"6",10,10.1273342531111,1.67501708141111,0.609386753133333,2
"7",13,23.77331400092,3.74611351328667,0.311296498066667,1
"8",14,8.23655909022308,2.71800811954615,0.475981609084615,2
"9",17,26.0198981254077,5.15332903566154,0.960323034046154,1
"10",18,24.1752012072462,2.65492921140769,1.07429050216923,1
"11",19,29.5458725629697,8.42118739675757,1.47831567467273,1
"12",20,18.5424983535571,4.05621877734286,1.03595777862857,1
"13",22,0,0,0,2
"14",23,3.37948362119167,0.821861546033333,0.815540576258333,2
"15",24,4.31476804335833,2.31876926658333,0.521251863725,2
"16",25,1.48298350155455,0.767172454936364,1.79132184773636,2
"17",26,7.422100853,2.03447672167,1.49873928368,2
"18",28,1.33075058402,1.04198328122,0.56761576733,2
"19",30,1.1951577175625,0.9340891406,1.537067174775,2
"20",32,1.15668406636667,0.65343455944,8.29383402731333,2
"21",33,1.22771007480909,0.973663016654545,8.14775315040909,2
"22",34,1.54952257515714,4.96498616927619,4.84496363134286,2
"23",40,2.67525597533636,0.754530189790909,4.12904274035909,2
"24",41,1.84222619225714,0.679049599821429,11.8291585826857,2
"25",42,1.45515090628235,0.597378975635294,2.93266426877059,2
"26",43,1.46639678145676,0.746862550494595,3.27767333412973,2
"27",44,1.24561721395588,0.793105772805882,6.2469850308,2
"28",45,3.92064297973333,1.01028469978667,5.21789787901,2
"29",46,1.394962239352,0.769885485328,5.10225178554,2
"30",47,2.18514057042174,1.27784892459565,6.89638345986522,2
"31",48,1.40658752288,0.78386379118,9.574273548404,2
"32",49,6.38690717571945,1.03146596946111,1.13248367254444,2
"33",50,3.30240885828,1.75351436576,2.16302838844,2
"34",52,1.42757039622143,1.13625825949286,1.2313519779,2
"35",60,33.3124329603458,63.0976982909584,2.17193406689167,3
"36",61,53.4833624585618,4.37761415476,1.89793584265636,1
"37",62,11.3188949070814,3.21946862223559,0.393947368723729,2
"38",63,32.3537933027596,2.10589743125106,1.13870686130213,1
"39",66,25.3757583006276,8.27191804539483,17.5938411889552,1
"40",67,1.00424188905652,0.770453672556522,2.20640201353913,2
"41",68,12.6635744001733,3.01490236396889,0.571153928295556,2
"42",69,1.08205865310286,1.40252743564857,1.10630190478286,2
"43",70,15.370929379739,6.91801602397805,3.32937791271463,2
"44",71,1.25331294783077,0.987725403134615,1.06748504163077,2
"45",72,4.29868814017576,1.74193827980606,1.08342452231212,2
"46",73,1.06903509744,0.616100579636,4.811241008276,2
"47",75,1.25623257039057,0.742951779903774,3.20944483893208,2
"48",76,16.8325416354071,2.18023977344286,1.88652298140714,1
"49",77,1.3937587164375,1.00261910606667,1.55555818527083,2
"50",78,6.25384454554445,2.53146666409444,1.59817815428333,2
"51",79,2.40197460365,0.923340987128571,2.88489004749286,2
"52",81,1.40661577337222,0.657020654716667,3.66406603954444,2
"53",83,2.49530144307241,0.751023472331035,2.58764944440345,2
"54",84,8.32389332582143,2.17679278345,0.761521154757143,2
"55",88,2.28851379681579,1.00541702256842,1.02702404932105,2
"56",90,24.0158143090035,2.85459368758965,3.60443617246897,1
"57",94,18.1987865133056,3.12324897073889,1.50372088850556,1
"58",100,51.3785888075154,6.98674605212308,3.18238037421538,1
"59",101,1.83016654664167,0.554855088283333,3.92701575813333,2
"60",102,4.19202388677451,1.85786278508627,1.66027344128039,2
"61",103,2.0614294662,1.64603795986333,1.12386951213,2
"62",104,8.02059668620333,1.67834502220167,2.137578625445,2
"63",105,2.56652025285286,1.80054381493143,2.49185545591714,2
"64",106,5.05834506705263,1.25800234537632,2.55183491148421,2
"65",107,8.174971937585,1.69883536828,0.6647739646,2
"66",108,9.40011638283513,1.74155529817027,0.527627296848649,2
"67",109,24.7662385550475,3.65355431920656,0.551840231162295,1
"68",110,8.55537421620323,1.95621232246452,0.153724894432258,2
"69",111,27.3875668109925,4.18664631184,0.5687812986175,1
"70",112,19.9789274423543,2.98950839471429,0.52229857328,1
"71",113,1.07115361957872,2.34003620788085,4.25047036427447,2
"72",114,14.2642467079887,1.69021432291129,1.28142019657742,2
"73",115,4.25772055817568,1.28595069067568,0.545223623416216,2
"74",120,31.0302661437304,1.3915665889913,0.815211663876087,1
"75",122,21.6071043086773,1.60191611634773,1.13690959861136,1
"76",123,17.3615385073,1.10036760696111,0.8882796414,1
