"","precint","noOfStops","crime","label"
"1",1,-3.21269796234223,-0.670852523990841,1
"2",5,6.09071100689631,-8.96312156912442,1
"3",6,3.40845204548339,2.42207666817289,1
"4",7,15.011263250088,-11.4044279426236,1
"5",9,-6.25966712979783,-0.699025774699776,1
"6",10,7.16576145390772,-5.35670727257157,1
"7",13,-2.69651834491946,14.2078937664351,1
"8",14,32.7574369236731,28.8544327030163,2
"9",17,-11.4796958460682,-8.46288936975749,1
"10",18,-7.61547175876978,18.7514963367629,1
"11",19,-33.979976375722,32.0277238731822,2
"12",20,-1.23148721574703,-9.82668259277615,1
"13",23,59.1548310041178,-8.70300082545361,3
"14",24,39.4848157025422,-7.22231351532746,3
"15",25,20.9780956037895,-6.51882679547316,1
"16",26,15.6401694423275,-12.8717757274333,1
"17",28,15.704529406824,-8.38636033977641,1
"18",30,42.5184166342716,-7.72289219587146,3
"19",32,73.882359778331,-9.75665008486477,3
"20",33,58.0758577938778,-10.0503795027095,3
"21",34,114.473231707546,-9.15427090348859,3
"22",40,35.0419244553686,6.56828698349716,3
"23",41,17.7159560560997,0.934979456271301,1
"24",42,4.9537300932319,-4.34729932845507,1
"25",43,10.4447247258532,59.250620023614,2
"26",44,40.3585318664727,41.5471426271352,2
"27",45,112.335129972404,-12.2433454925576,3
"28",46,-1.78989144908701,6.68518107060463,1
"29",47,-4.74030733811334,50.7274429290498,2
"30",48,1.11966887411959,7.5473345144746,1
"31",49,-3.32461847434702,7.50660132109755,1
"32",50,-8.39656747991503,-18.1263360179956,1
"33",52,22.6902505339579,33.1978341182295,2
"34",60,7.76534368298851,-0.318069720532536,1
"35",61,-12.0349923528001,20.2725053938683,1
"36",62,-11.0163102576051,-14.0181520118527,1
"37",63,-18.0334927596908,-4.57322671096569,1
"38",66,-13.1314338694679,-19.3840626906896,1
"39",67,-0.104101235919606,73.7631357098972,2
"40",68,-13.9937604083006,-37.3634473794687,1
"41",69,-7.20074430636745,-17.8553444273948,1
"42",70,3.81401900413912,30.1525460879103,2
"43",71,1.12837626545455,8.58623666878754,1
"44",72,-2.44862256840196,-15.054390592117,1
"45",73,21.2554903228226,33.5594088815555,2
"46",75,4.33633342188981,202.031615172963,2
"47",76,11.2659469158825,-19.0709736370772,1
"48",77,4.3643597068865,4.60421512123817,1
"49",78,-1.3625009567125,-12.1240693473579,1
"50",79,9.69619208709224,21.8992561751949,1
"51",81,0.637515883465292,3.66325886466274,1
"52",83,5.6643260054614,26.9882850834213,2
"53",84,2.99318116806989,-9.52320839182688,1
"54",88,-2.40353486025463,-9.02754541298228,1
"55",90,12.7040402438725,12.8651492749222,1
"56",94,-6.85831030433645,-14.8553371559014,1
"57",100,0.015723935395105,-16.7067160153247,1
"58",101,48.9264031260111,-11.0040689425415,3
"59",102,-10.194627546981,13.4406545100034,1
"60",103,18.1974162372012,18.9579774632116,1
"61",104,-20.1154028613275,21.3881098187509,1
"62",105,-16.5605167387835,65.6563640249271,2
"63",106,-11.0066769536653,9.31919594376473,1
"64",107,-16.1780420530925,-10.5965421131092,1
"65",108,-7.6783388728578,-13.6600637153708,1
"66",109,-8.08526917323881,52.6930739566053,2
"67",110,5.62208982472027,16.2601450882535,1
"68",111,-8.11373102496788,-36.1768359683643,1
"69",112,-8.3724355897153,-30.497879546062,1
"70",113,-4.55316459247435,70.8768825398442,2
"71",114,-4.21777960626548,62.0938445624922,2
"72",115,9.41655288042601,19.7457024192363,1
"73",120,57.0587879814192,-10.1207151816508,3
"74",122,-7.0760729423815,-46.3144421073964,1
"75",123,-5.94021170227651,-29.790689808628,1
