"","precint","usCitizen","income","noOfStops","crime","label"
"1",1,-2.68882459452332,32.0562139194963,-3.21269796234223,-0.670852523990841,1
"2",5,-22.547729269871,4.54163120200162,6.09071100689631,-8.96312156912442,1
"3",6,6.08561690615536,19.6540485597084,3.40845204548339,2.42207666817289,1
"4",7,3.1942409427864,-9.05023998555669,15.011263250088,-11.4044279426236,1
"5",9,34.4900739531655,61.770002723309,-6.25966712979783,-0.699025774699776,4
"6",10,11.2887080179843,38.551502310626,7.16576145390772,-5.35670727257157,1
"7",13,18.3243674509082,35.9571859254749,-2.69651834491946,14.2078937664351,1
"8",14,-3.47985639209341,36.8811351611247,32.7574369236731,28.8544327030163,1
"9",17,10.8004695786083,82.4226298189968,-11.4796958460682,-8.46288936975749,4
"10",18,8.7676878737438,72.6646601698117,-7.61547175876978,18.7514963367629,4
"11",19,98.4406740452299,369.500755952538,-33.979976375722,32.0277238731822,2
"12",20,35.7371502536257,168.33655557032,-1.23148721574703,-9.82668259277615,4
"13",23,2.71469029931158,-11.2066690414798,59.1548310041178,-8.70300082545361,1
"14",24,41.9159421079794,104.207369137021,39.4848157025422,-7.22231351532746,4
"15",25,3.84389201435338,-2.991386319106,20.9780956037895,-6.51882679547316,1
"16",26,-2.60548005606801,7.66776761796664,15.6401694423275,-12.8717757274333,1
"17",28,4.49164612116356,-0.996273500866574,15.704529406824,-8.38636033977641,1
"18",30,-19.6093768163782,-9.22356920138502,42.5184166342716,-7.72289219587146,1
"19",32,2.63306332780613,-9.93155338186588,73.882359778331,-9.75665008486477,1
"20",33,-112.298679863463,-47.2977694512022,58.0758577938778,-10.0503795027095,3
"21",34,-90.2926046752794,-35.5801560329672,114.473231707546,-9.15427090348859,3
"22",40,-2.45529938779782,-14.1212622409592,35.0419244553686,6.56828698349716,1
"23",41,-0.92184066327952,-9.0755998240603,17.7159560560997,0.934979456271301,1
"24",42,1.26890969778706,-5.69715576287404,4.9537300932319,-4.34729932845507,1
"25",43,1.59822159638766,-15.11786359058,10.4447247258532,59.250620023614,3
"26",44,-27.649229061093,-25.6413395455511,40.3585318664727,41.5471426271352,3
"27",45,154.924376414617,-12.3992037076618,112.335129972404,-12.2433454925576,1
"28",46,-9.85727796158253,-9.85741081180503,-1.78989144908701,6.68518107060463,1
"29",47,10.8809869938112,-9.32179133833418,-4.74030733811334,50.7274429290498,3
"30",48,-8.34144707700098,-15.5373806353545,1.11966887411959,7.5473345144746,1
"31",49,3.80074296615511,-5.18660751711039,-3.32461847434702,7.50660132109755,1
"32",50,2.79509462072649,-2.96621582137333,-8.39656747991503,-18.1263360179956,1
