"","precint","whiteStopRatio","label"
"1",1,0.384341235685714,3
"2",5,0.657113870391667,3
"3",6,0.200168446472727,1
"4",7,0.24247198122,1
"5",9,0.34111702564,1
"6",10,0.293790883433333,1
"7",13,0.319676585986667,1
"8",14,0.321036798892308,1
"9",17,0.278832479146154,1
"10",18,0.252447598638462,1
"11",19,0.271833446,1
"12",20,0.315149787042857,1
"13",22,0,1
"14",23,0.0868237724666667,1
"15",24,0.204950336716667,1
"16",25,0.195907668690909,1
"17",26,0.15843364119,1
"18",28,0.14758837543,1
"19",30,0.1322422401,1
"20",32,0.164578762986667,1
"21",33,0.190709607972727,1
"22",34,0.51688670152381,3
"23",40,0.0982601173727273,1
"24",41,0.0948521162357143,1
"25",42,0.116367695976471,1
"26",43,0.180225781683784,1
"27",44,0.14685045445,1
"28",45,0.50127670214,3
"29",46,0.198829238216,1
"30",47,0.376205322097826,3
"31",48,0.272793050084,1
"32",49,0.422639997622222,3
"33",50,0.268015438528,1
"34",52,0.194194107585714,1
"35",60,0.512107715645833,3
"36",61,0.796124927218182,2
"37",62,0.9350315154,2
"38",63,0.515868414217021,3
"39",66,0.442324608441379,3
"40",67,0.941644378756522,2
"41",68,0.984920083277778,2
"42",69,0.328402547645714,1
"43",70,0.440021389482927,3
"44",71,0.288231112207692,1
"45",72,0.249484724430303,1
"46",73,0.372457525972,3
"47",75,0.182598141549057,1
"48",76,0.340599496585714,1
"49",77,0.4227436717,3
"50",78,0.256052149116667,1
"51",79,0.406471923703571,3
"52",81,0.241952108466667,1
"53",83,0.21382749362069,1
"54",84,0.238478813707143,1
"55",88,0.274101365,1
"56",90,0.210193612313793,1
"57",94,0.5150603084,3
"58",100,0.421683175753846,3
"59",101,0.0719717547666667,1
"60",102,0.278181278745098,1
"61",103,0.68947273044,3
"62",104,0.450966092841667,3
"63",105,1.35042184348429,2
"64",106,0.635533395663158,3
"65",107,0.41120842408,3
"66",108,0.367216151497297,3
"67",109,0.494038591534426,3
"68",110,0.0994728373806451,1
"69",111,0.6822737362225,3
"70",112,0.583354431517143,3
"71",113,1.61292398904255,2
"72",114,0.312147516701613,1
"73",115,0.1869098726,1
"74",120,0.416161337021739,3
"75",122,0.752663599743182,3
"76",123,0.8506990219,2
