"","precint","blackPop","crime","label"
"1",1,-9.72000559470548,-0.670852523990841,4
"2",5,-25.6887423911329,-8.96312156912442,4
"3",6,-6.74564463093302,2.42207666817289,4
"4",7,3.50747701402582,-11.4044279426236,4
"5",9,-45.3263690467324,-0.699025774699776,4
"6",10,-8.41758771258647,-5.35670727257157,4
"7",13,-6.73062668641529,14.2078937664351,4
"8",14,-15.4404240326669,28.8544327030163,4
"9",17,-22.7706261778405,-8.46288936975749,4
"10",18,-14.8166661504251,18.7514963367629,4
"11",19,-110.788755679162,32.0277238731822,3
"12",20,-43.0345730027064,-9.82668259277615,4
"13",23,27.0687492023207,-8.70300082545361,1
"14",24,-15.1374644656909,-7.22231351532746,4
"15",25,5.50334812031751,-6.51882679547316,4
"16",26,-6.19147439790436,-12.8717757274333,4
"17",28,-3.0405341996722,-8.38636033977641,4
"18",30,36.7814891998329,-7.72289219587146,1
"19",32,-0.62963665507261,-9.75665008486477,4
"20",33,189.126394266382,-10.0503795027095,2
"21",34,166.629487806515,-9.15427090348859,2
"22",40,38.9854643786332,6.56828698349716,1
"23",41,22.5594092215547,0.934979456271301,1
"24",42,9.90273438850248,-4.34729932845507,4
"25",43,36.860748818606,59.250620023614,1
"26",44,54.4304437060972,41.5471426271352,1
"27",45,24.3316354508095,-12.2433454925576,1
"28",46,24.9370235748682,6.68518107060463,1
"29",47,-8.51156602179954,50.7274429290498,3
"30",48,36.463213349936,7.5473345144746,1
"31",49,9.67524107025313,7.50660132109755,1
"32",50,23.4543417997644,-18.1263360179956,1
"33",52,58.3133006345356,33.1978341182295,1
"34",60,-2.96877992054128,-0.318069720532536,4
"35",61,-22.355527961532,20.2725053938683,4
"36",62,-12.9633877747689,-14.0181520118527,4
"37",63,-24.3956634493392,-4.57322671096569,4
"38",66,-12.0865507375924,-19.3840626906896,4
"39",67,-17.6683653670717,73.7631357098972,3
"40",68,-15.3729163919497,-37.3634473794687,4
"41",69,-16.8851374477173,-17.8553444273948,4
"42",70,-8.09735509081025,30.1525460879103,1
"43",71,-6.46858848014231,8.58623666878754,4
"44",72,13.7000257307159,-15.054390592117,4
"45",73,0.503362453038134,33.5594088815555,1
"46",75,8.38666643677065,202.031615172963,3
"47",76,3.00610355898678,-19.0709736370772,4
"48",77,-4.88157515540494,4.60421512123817,4
"49",78,-2.14393306172208,-12.1240693473579,4
"50",79,-0.0439570859155951,21.8992561751949,1
"51",81,2.84652646053047,3.66325886466274,4
"52",83,23.4933738946865,26.9882850834213,1
"53",84,-3.5326373765378,-9.52320839182688,4
"54",88,-0.490802105952852,-9.02754541298228,4
"55",90,8.09890039089286,12.8651492749222,1
"56",94,-4.86657681222672,-14.8553371559014,4
"57",100,-1.4456655366164,-16.7067160153247,4
"58",101,3.89433794577598,-11.0040689425415,4
"59",102,12.6076820181059,13.4406545100034,1
"60",103,-3.6514650586812,18.9579774632116,1
"61",104,9.07063051118866,21.3881098187509,1
"62",105,-43.4170164416847,65.6563640249271,3
"63",106,-5.82797985417752,9.31919594376473,4
"64",107,-13.3676236688861,-10.5965421131092,4
"65",108,19.8558453582489,-13.6600637153708,1
"66",109,-22.2411634688531,52.6930739566053,3
"67",110,26.4060779468317,16.2601450882535,1
"68",111,-11.7714308331873,-36.1768359683643,4
"69",112,-9.42342660856647,-30.497879546062,4
"70",113,-44.2195938215337,70.8768825398442,3
"71",114,7.63505180145007,62.0938445624922,3
"72",115,53.5672565962966,19.7457024192363,1
"73",120,7.0412656499963,-10.1207151816508,4
"74",122,-24.8620073626691,-46.3144421073964,4
"75",123,-14.3755879460394,-29.790689808628,4
