"PCT","FRISKED","RIFLSHOT","FREQ","PERCENTAGE"
"123","69  ","N","N",2872,0.541181214680483
"124","69  ","Y","N",2485,0.468257422869429
"125","7   ","N","N",1209,0.227816186820579
"126","7   ","Y","N",2274,0.428497939478906
"127","70  ","N","N",4563,0.85982238251638
"128","70  ","Y","N",6560,1.23612422294706
"129","70  ","Y","Y",1,0.000188433570571199
"130","71  ","N","N",2265,0.426802037343765
"131","71  ","Y","N",2393,0.450921534376878
"132","72  ","N","N",2393,0.450921534376878
"133","72  ","Y","N",2746,0.517438584788512
"134","73  ","N","N",12022,2.26534838540695
"135","73  ","Y","N",9879,1.86153524367287
"136","75  ","N","N",11892,2.2408520212327
"137","75  ","Y","N",12414,2.33921434507086
"138","76  ","N","N",2608,0.491434752049686
"139","76  ","Y","N",1868,0.351993909826999
"140","77  ","N","N",4616,0.869809361756653
"141","77  ","Y","N",5287,0.996248287609927
"142","78  ","N","N",2069,0.38986905751181
"143","78  ","Y","N",1205,0.227062452538294
"144","79  ","N","N",6846,1.29001622413043
"145","79  ","Y","N",8333,1.5702169435698
"146","81  ","N","N",3643,0.686463497590877
"147","81  ","Y","N",5992,1.12909395486262
"148","83  ","N","N",4435,0.835702885483266
"149","83  ","Y","N",7358,1.38649421226288
"150","83  ","Y","Y",2,0.000376867141142397
"151","84  ","N","N",2268,0.427367338055479
"152","84  ","Y","N",1539,0.289999265109075
"153","88  ","N","N",2910,0.548341690362188
"154","88  ","Y","N",3010,0.567185047419308
"155","88  ","Y","Y",1,0.000188433570571199
"156","9   ","N","N",2597,0.489361982773403
"157","9   ","Y","N",2624,0.494449689178825
"158","90  ","N","N",5289,0.99662515475107
"159","90  ","Y","N",4541,0.855676843963813
"160","90  ","Y","Y",1,0.000188433570571199
"161","94  ","N","N",1138,0.214437403310024
"162","94  ","Y","N",951,0.17920032561321
