"PCT","FRISKED","OTHRWEAP","FREQ","PERCENTAGE"
"138","41  ","N","N",3214,0.605625495815833
"139","41  ","N","Y",1,0.000188433570571199
"140","41  ","Y","N",5374,1.01264200824962
"141","41  ","Y","Y",7,0.00131903499399839
"142","42  ","N","N",2183,0.411350484556927
"143","42  ","Y","N",5527,1.04147234454702
"144","42  ","Y","Y",27,0.00508770640542236
"145","43  ","N","N",4347,0.819120731273001
"146","43  ","N","Y",8,0.00150746856456959
"147","43  ","Y","N",6247,1.17714451535828
"148","43  ","Y","Y",28,0.00527613997599356
"149","44  ","N","N",3519,0.663097734840048
"150","44  ","Y","N",11821,2.22747323772214
"151","44  ","Y","Y",38,0.00716047568170555
"152","45  ","N","N",2192,0.413046386692068
"153","45  ","Y","N",1789,0.337107657751874
"154","45  ","Y","Y",9,0.00169590213514079
"155","46  ","N","N",1146,0.215944871874594
"156","46  ","Y","N",4462,0.840790591888689
"157","46  ","Y","Y",11,0.00207276927628319
"158","47  ","N","N",3408,0.642181608506645
"159","47  ","N","Y",2,0.000376867141142397
"160","47  ","Y","N",5499,1.03619620457102
"161","47  ","Y","Y",8,0.00150746856456959
"162","48  ","N","N",1838,0.346340902709863
"163","48  ","N","Y",1,0.000188433570571199
"164","48  ","Y","N",3563,0.671388811945181
"165","48  ","Y","Y",6,0.00113060142342719
"166","49  ","N","N",2413,0.454690205788302
"167","49  ","Y","N",3344,0.630121859990088
"168","49  ","Y","Y",14,0.00263806998799678
"169","5   ","N","N",1601,0.301682146484489
"170","5   ","N","Y",2,0.000376867141142397
"171","5   ","Y","N",1146,0.215944871874594
"172","5   ","Y","Y",7,0.00131903499399839
"173","50  ","N","N",916,0.172605150643218
"174","50  ","Y","N",900,0.169590213514079
"175","50  ","Y","Y",2,0.000376867141142397
"176","52  ","N","N",3243,0.611090069362397
"177","52  ","N","Y",1,0.000188433570571199
"178","52  ","Y","N",6469,1.21897676802508
"179","52  ","Y","Y",22,0.00414553855256637
"180","6   ","N","N",1859,0.350298007691858
"181","6   ","Y","N",1737,0.327309112082172
"182","6   ","Y","Y",4,0.000753734282284795
"183","60  ","N","N",3168,0.596957551569557
"184","60  ","N","Y",3,0.000565300711713596
"185","60  ","Y","N",4581,0.863214186786661
"186","60  ","Y","Y",23,0.00433397212313757
"187","61  ","N","N",3866,0.728484183828254
