"PCT","FRISKED","KNIFCUTI","FREQ","PERCENTAGE"
"121","28  ","N","N",3934,0.741297666627096
"122","28  ","N","Y",8,0.00150746856456959
"123","28  ","Y","N",2711,0.51084340981852
"124","28  ","Y","Y",38,0.00716047568170555
"125","30  ","N","N",3044,0.573591788818729
"126","30  ","N","Y",4,0.000753734282284795
"127","30  ","Y","N",3062,0.57698359308901
"128","30  ","Y","Y",46,0.00866794424627514
"129","32  ","N","N",4138,0.77973811502362
"130","32  ","N","Y",2,0.000376867141142397
"131","32  ","Y","N",6461,1.21746929946051
"132","32  ","Y","Y",55,0.0103638463814159
"133","33  ","N","N",1425,0.268517838063958
"134","33  ","N","Y",2,0.000376867141142397
"135","33  ","Y","N",2158,0.406639645292647
"136","33  ","Y","Y",27,0.00508770640542236
"137","34  ","N","N",4938,0.930484971480579
"138","34  ","N","Y",3,0.000565300711713596
"139","34  ","Y","N",4649,0.876027669585503
"140","34  ","Y","Y",74,0.0139440842222687
"141","40  ","N","N",5412,1.01980248393133
"142","40  ","N","Y",6,0.00113060142342719
"143","40  ","Y","N",12680,2.3893376748428
"144","40  ","Y","Y",131,0.024684797744827
"145","41  ","N","N",3215,0.605813929386404
"146","41  ","Y","N",5367,1.01132297325562
"147","41  ","Y","Y",14,0.00263806998799678
"148","42  ","N","N",2180,0.410785183845213
"149","42  ","N","Y",3,0.000565300711713596
"150","42  ","Y","N",5491,1.03468873600645
"151","42  ","Y","Y",63,0.0118713149459855
"152","43  ","N","N",4351,0.819874465555285
"153","43  ","N","Y",4,0.000753734282284795
"154","43  ","Y","N",6176,1.16376573184772
"155","43  ","Y","Y",99,0.0186549234865487
"156","44  ","N","N",3519,0.663097734840048
"157","44  ","Y","N",11670,2.19901976856589
"158","44  ","Y","Y",189,0.0356139448379566
"159","45  ","N","N",2191,0.412857953121496
"160","45  ","N","Y",1,0.000188433570571199
"161","45  ","Y","N",1768,0.333150552769879
"162","45  ","Y","Y",30,0.00565300711713596
"163","46  ","N","N",1133,0.213495235457168
"164","46  ","N","Y",13,0.00244963641742558
"165","46  ","Y","N",4418,0.832499514783556
"166","46  ","Y","Y",55,0.0103638463814159
"167","47  ","N","N",3406,0.641804741365503
"168","47  ","N","Y",4,0.000753734282284795
"169","47  ","Y","N",5447,1.02639765890132
"170","47  ","Y","Y",60,0.0113060142342719
"171","48  ","N","N",1836,0.345964035568721
"172","48  ","N","Y",3,0.000565300711713596
"173","48  ","Y","N",3544,0.667808574104328
"174","48  ","Y","Y",25,0.00471083926427997
"175","49  ","N","N",2413,0.454690205788302
"176","49  ","Y","N",3315,0.624657286443524
"177","49  ","Y","Y",43,0.00810264353456154
"178","5   ","N","N",1597,0.300928412202204
"179","5   ","N","Y",6,0.00113060142342719
"180","5   ","Y","N",1122,0.211422466180885
"181","5   ","Y","Y",31,0.00584144068770716
"182","50  ","N","N",915,0.172416717072647
"183","50  ","N","Y",1,0.000188433570571199
"184","50  ","Y","N",886,0.166952143526082
"185","50  ","Y","Y",16,0.00301493712913918
"186","52  ","N","N",3240,0.610524768650684
"187","52  ","N","Y",4,0.000753734282284795
"188","52  ","Y","N",6404,1.20672858593796
"189","52  ","Y","Y",87,0.0163937206396943
"190","6   ","N","N",1858,0.350109574121287
"191","6   ","N","Y",1,0.000188433570571199
"192","6   ","Y","N",1714,0.322975139959035
"193","6   ","Y","Y",27,0.00508770640542236
"194","60  ","N","N",3170,0.5973344187107
"195","60  ","N","Y",1,0.000188433570571199
"196","60  ","Y","N",4546,0.856619011816669
"197","60  ","Y","Y",58,0.0109291470931295
"198","61  ","N","N",3862,0.727730449545969
"199","61  ","N","Y",4,0.000753734282284795
"200","61  ","Y","N",2787,0.525164361181931
"201","61  ","Y","Y",28,0.00527613997599356
"202","62  ","N","N",2338,0.440557687995463
"203","62  ","N","Y",2,0.000376867141142397
"204","62  ","Y","N",2096,0.394956763917232
"205","62  ","Y","Y",26,0.00489927283485117
"206","63  ","N","N",1171,0.220655711138874
"207","63  ","Y","N",2455,0.462604415752293
"208","63  ","Y","Y",25,0.00471083926427997
"209","66  ","N","N",1451,0.273417110898809
"210","66  ","Y","N",1958,0.368952931178407
"211","66  ","Y","Y",11,0.00207276927628319
"212","67  ","N","N",4539,0.855299976822671
"213","67  ","N","Y",11,0.00207276927628319
"214","67  ","Y","N",6127,1.15453248688973
"215","67  ","Y","Y",106,0.0199739584805471
"216","68  ","N","N",1561,0.294144803661641
"217","68  ","N","Y",1,0.000188433570571199
"218","68  ","Y","N",976,0.18391116487749
"219","68  ","Y","Y",10,0.00188433570571199
"220","69  ","N","N",2872,0.541181214680483
"221","69  ","Y","N",2450,0.461662247899437
"222","69  ","Y","Y",35,0.00659517496999195
"223","7   ","N","N",1206,0.227250886108866
"224","7   ","N","Y",3,0.000565300711713596
"225","7   ","Y","N",2234,0.420960596656058
"226","7   ","Y","Y",40,0.00753734282284795
"227","70  ","N","N",4559,0.859068648234095
"228","70  ","N","Y",4,0.000753734282284795
"229","70  ","Y","N",6485,1.22199170515422
"230","70  ","Y","Y",76,0.0143209513634111
"231","71  ","N","N",2259,0.425671435920338
"232","71  ","N","Y",6,0.00113060142342719
"233","71  ","Y","N",2331,0.439238653001464
"234","71  ","Y","Y",62,0.0116828813754143
"235","72  ","N","N",2391,0.450544667235736
"236","72  ","N","Y",2,0.000376867141142397
"237","72  ","Y","N",2698,0.508393773401094
"238","72  ","Y","Y",48,0.00904481138741754
"239","73  ","N","N",12004,2.26195658113667
"240","73  ","N","Y",18,0.00339180427028158
"241","73  ","Y","N",9744,1.83609671164576
"242","73  ","Y","Y",135,0.0254385320271118
"243","75  ","N","N",11872,2.23708334982127
"244","75  ","N","Y",20,0.00376867141142397
