"PCT","total","FRISKED","PISTOL","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N","N",1924,0.362546189778986,0.63144076140466
"2","1   ",3047,"Y","N",1123,0.211610899751456,0.36855923859534
"3","10  ",2366,"N","N",1229,0.231584858232003,0.519442096365173
"4","10  ",2366,"Y","N",1137,0.214248969739453,0.480557903634827
"5","100 ",4123,"N","N",2036,0.383650749682961,0.493815183119088
"6","100 ",4123,"Y","N",2071,0.390245924652952,0.502304147465438
"7","100 ",4123,"Y","Y",16,0.00301493712913918,0.00388066941547417
"8","101 ",9747,"N","N",2405,0.453182737223733,0.246742587462809
"9","101 ",9747,"Y","N",7324,1.38008747086346,0.751410690468862
"10","101 ",9747,"Y","Y",18,0.00339180427028158,0.00184672206832872
"11","102 ",6838,"N","N",2850,0.537035676127916,0.416788534659257
"12","102 ",6838,"Y","N",3968,0.747704408026516,0.580286633518573
"13","102 ",6838,"Y","Y",20,0.00376867141142397,0.00292483182217023
"14","103 ",12964,"N","N",5746,1.08273929650211,0.443227398950941
"15","103 ",12964,"N","Y",2,0.000376867141142397,0.000154273372415921
"16","103 ",12964,"Y","N",7191,1.35502580597749,0.554689910521444
"17","103 ",12964,"Y","Y",25,0.00471083926427997,0.00192841715519901
"18","104 ",4888,"N","N",1478,0.278504817304232,0.302373158756137
"19","104 ",4888,"Y","N",3410,0.642558475647787,0.697626841243863
"20","105 ",8194,"N","N",3571,0.67289628050975,0.435806687820356
"21","105 ",8194,"N","Y",1,0.000188433570571199,0.000122040517451794
"22","105 ",8194,"Y","N",4606,0.867925026050941,0.562118623382963
"23","105 ",8194,"Y","Y",16,0.00301493712913918,0.0019526482792287
"24","106 ",5018,"N","N",2321,0.437354317295752,0.462534874451973
"25","106 ",5018,"Y","N",2691,0.507074738407096,0.536269430051813
"26","106 ",5018,"Y","Y",6,0.00113060142342719,0.00119569549621363
"27","107 ",4438,"N","N",1799,0.338991993457586,0.405362776025237
"28","107 ",4438,"Y","N",2638,0.497087759166822,0.594411897251014
"29","107 ",4438,"Y","Y",1,0.000188433570571199,0.000225326723749437
"30","108 ",4094,"N","N",2155,0.406074344580933,0.52638006839277
"31","108 ",4094,"Y","N",1939,0.365372693337554,0.47361993160723
"32","109 ",9672,"N","N",3653,0.688347833296589,0.377688172043011
"33","109 ",9672,"N","Y",2,0.000376867141142397,0.000206782464846981
