"PCT","FRISKED","CONTRABN","FREQ","PERCENTAGE"
"138","32  ","N","Y",38,0.00716047568170555
"139","32  ","Y","N",6211,1.17036090681771
"140","32  ","Y","Y",305,0.0574722390242156
"141","33  ","N","N",1417,0.267010369499389
"142","33  ","N","Y",10,0.00188433570571199
"143","33  ","Y","N",2101,0.395898931770088
"144","33  ","Y","Y",84,0.0158284199279807
"145","34  ","N","N",4926,0.928223768633725
"146","34  ","N","Y",15,0.00282650355856798
"147","34  ","Y","N",4580,0.86302575321609
"148","34  ","Y","Y",143,0.0269460005916814
"149","40  ","N","N",5393,1.01622224609047
"150","40  ","N","Y",25,0.00471083926427997
"151","40  ","Y","N",12585,2.37143648563854
"152","40  ","Y","Y",226,0.0425859869490909
"153","41  ","N","N",3202,0.603364292968978
"154","41  ","N","Y",13,0.00244963641742558
"155","41  ","Y","N",5299,0.998509490456782
"156","41  ","Y","Y",82,0.0154515527868383
"157","42  ","N","N",2146,0.404378442445792
"158","42  ","N","Y",37,0.00697204211113435
"159","42  ","Y","N",5413,1.0199909175019
"160","42  ","Y","Y",141,0.026569133450539
"161","43  ","N","N",4332,0.816294227714433
"162","43  ","N","Y",23,0.00433397212313757
"163","43  ","Y","N",6134,1.15585152188373
"164","43  ","Y","Y",141,0.026569133450539
"165","44  ","N","N",3491,0.657821594864055
"166","44  ","N","Y",28,0.00527613997599356
"167","44  ","Y","N",11561,2.17848050937363
"168","44  ","Y","Y",298,0.0561532040302172
"169","45  ","N","N",2178,0.410408316704071
"170","45  ","N","Y",14,0.00263806998799678
"171","45  ","Y","N",1728,0.325613209947031
"172","45  ","Y","Y",70,0.0131903499399839
"173","46  ","N","N",1139,0.214625836880595
"174","46  ","N","Y",7,0.00131903499399839
"175","46  ","Y","N",4395,0.828165542660418
"176","46  ","Y","Y",78,0.0146978185045535
"177","47  ","N","N",3382,0.637282335671794
"178","47  ","N","Y",28,0.00527613997599356
"179","47  ","Y","N",5367,1.01132297325562
"180","47  ","Y","Y",140,0.0263806998799678
"181","48  ","N","N",1837,0.346152469139292
"182","48  ","N","Y",2,0.000376867141142397
"183","48  ","Y","N",3532,0.665547371257474
"184","48  ","Y","Y",37,0.00697204211113435
"185","49  ","N","N",2399,0.452052135800306
"186","49  ","N","Y",14,0.00263806998799678
"187","49  ","Y","N",3249,0.612220670785825
"188","49  ","Y","Y",109,0.0205392591922607
"189","5   ","N","N",1592,0.299986244349348
"190","5   ","N","Y",11,0.00207276927628319
"191","5   ","Y","N",1099,0.207088494057747
"192","5   ","Y","Y",54,0.0101754128108447
"193","50  ","N","N",915,0.172416717072647
"194","50  ","N","Y",1,0.000188433570571199
"195","50  ","Y","N",866,0.163183472114658
"196","50  ","Y","Y",36,0.00678360854056315
"197","52  ","N","N",3237,0.60995946793897
"198","52  ","N","Y",7,0.00131903499399839
"199","52  ","Y","N",6412,1.20823605450253
"200","52  ","Y","Y",79,0.0148862520751247
"201","6   ","N","N",1849,0.348413671986146
"202","6   ","N","Y",10,0.00188433570571199
"203","6   ","Y","N",1685,0.31751056641247
"204","6   ","Y","Y",56,0.0105522799519871
"205","60  ","N","N",3156,0.594696348722703
"206","60  ","N","Y",15,0.00282650355856798
"207","60  ","Y","N",4461,0.840602158318117
"208","60  ","Y","Y",143,0.0269460005916814
"209","61  ","N","N",3854,0.7262229809814
"210","61  ","N","Y",12,0.00226120284685438
"211","61  ","Y","N",2751,0.518380752641368
"212","61  ","Y","Y",64,0.0120597485165567
"213","62  ","N","N",2335,0.439992387283749
"214","62  ","N","Y",5,0.000942167852855993
"215","62  ","Y","N",2059,0.387984721806098
"216","62  ","Y","Y",63,0.0118713149459855
"217","63  ","N","N",1157,0.218017641150877
"218","63  ","N","Y",14,0.00263806998799678
"219","63  ","Y","N",2416,0.455255506500016
"220","63  ","Y","Y",64,0.0120597485165567
"221","66  ","N","N",1450,0.273228677328238
"222","66  ","N","Y",1,0.000188433570571199
