"PCT","total","FRISKED","KNIFCUTI","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N","N",1922,0.362169322637844,0.630784378076797
"2","1   ",3047,"N","Y",2,0.000376867141142397,0.000656383327863472
"3","1   ",3047,"Y","N",1090,0.205392591922607,0.357728913685592
"4","1   ",3047,"Y","Y",33,0.00621830782884956,0.0108303249097473
"5","10  ",2366,"N","N",1227,0.231207991090861,0.518596787827557
"6","10  ",2366,"N","Y",2,0.000376867141142397,0.00084530853761623
"7","10  ",2366,"Y","N",1111,0.209349696904602,0.469568892645816
"8","10  ",2366,"Y","Y",26,0.00489927283485117,0.010989010989011
"9","100 ",4123,"N","N",2034,0.383273882541818,0.493330099442154
"10","100 ",4123,"N","Y",2,0.000376867141142397,0.000485083676934271
"11","100 ",4123,"Y","N",2064,0.388926889658954,0.500606354596168
"12","100 ",4123,"Y","Y",23,0.00433397212313757,0.00557846228474412
"13","101 ",9747,"N","N",2405,0.453182737223733,0.246742587462809
"14","101 ",9747,"Y","N",7310,1.37744940087546,0.749974351082384
"15","101 ",9747,"Y","Y",32,0.00602987425827836,0.00328306145480661
"16","102 ",6838,"N","N",2849,0.536847242557345,0.416642293068149
"17","102 ",6838,"N","Y",1,0.000188433570571199,0.000146241591108511
"18","102 ",6838,"Y","N",3894,0.733760323804248,0.569464755776543
"19","102 ",6838,"Y","Y",94,0.0177127556336927,0.0137467095642001
"20","103 ",12964,"N","N",5741,1.08179712864925,0.442841715519901
"21","103 ",12964,"N","Y",7,0.00131903499399839,0.000539956803455724
"22","103 ",12964,"Y","N",6991,1.31733909186325,0.539262573279852
"23","103 ",12964,"Y","Y",225,0.0423975533785197,0.0173557543967911
"24","104 ",4888,"N","N",1478,0.278504817304232,0.302373158756137
"25","104 ",4888,"Y","N",3352,0.631629328554658,0.685761047463175
"26","104 ",4888,"Y","Y",58,0.0109291470931295,0.0118657937806874
"27","105 ",8194,"N","N",3571,0.67289628050975,0.435806687820356
"28","105 ",8194,"N","Y",1,0.000188433570571199,0.000122040517451794
"29","105 ",8194,"Y","N",4559,0.859068648234095,0.556382719062729
"30","105 ",8194,"Y","Y",63,0.0118713149459855,0.00768855259946302
"31","106 ",5018,"N","N",2320,0.437165883725181,0.462335591869271
"32","106 ",5018,"N","Y",1,0.000188433570571199,0.000199282582702272
"33","106 ",5018,"Y","N",2654,0.500102696295961,0.528895974491829
"34","106 ",5018,"Y","Y",43,0.00810264353456154,0.00856915105619769
"35","107 ",4438,"N","N",1798,0.338803559887015,0.405137449301487
"36","107 ",4438,"N","Y",1,0.000188433570571199,0.000225326723749437
"37","107 ",4438,"Y","N",2610,0.491811619190829,0.58810274898603
"38","107 ",4438,"Y","Y",29,0.00546457354656476,0.00653447498873366
"39","108 ",4094,"N","N",2151,0.405320610298648,0.525403028822667
"40","108 ",4094,"N","Y",4,0.000753734282284795,0.000977039570102589
"41","108 ",4094,"Y","N",1913,0.360473420502703,0.467269174401563
"42","108 ",4094,"Y","Y",26,0.00489927283485117,0.00635075720566683
"43","109 ",9672,"N","N",3655,0.688724700437731,0.377894954507858
"44","109 ",9672,"Y","N",5992,1.12909395486262,0.619520264681555
"45","109 ",9672,"Y","Y",25,0.00471083926427997,0.00258478081058726
"46","110 ",9075,"N","N",1692,0.318829601406468,0.186446280991736
"47","110 ",9075,"N","Y",1,0.000188433570571199,0.000110192837465565
"48","110 ",9075,"Y","N",7310,1.37744940087546,0.805509641873278
"49","110 ",9075,"Y","Y",72,0.0135672170811263,0.00793388429752066
"50","111 ",3749,"N","N",1567,0.295275405085068,0.417978127500667
"51","111 ",3749,"N","Y",4,0.000753734282284795,0.0010669511869832
"52","111 ",3749,"Y","N",2157,0.406451211722076,0.575353427580688
"53","111 ",3749,"Y","Y",21,0.00395710498199517,0.00560149373166178
