"PCT","total","PF_HCUFF","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N",2888,0.544196151809622,0.947817525434854
"2","1   ",3047,"Y",159,0.0299609377208206,0.052182474565146
"3","10  ",2366,"N",2201,0.414742288827208,0.930262045646661
"4","10  ",2366,"Y",165,0.0310915391442478,0.069737954353339
"5","100 ",4123,"N",3917,0.738094295927385,0.95003638127577
"6","100 ",4123,"Y",206,0.0388173155376669,0.0499636187242299
"7","101 ",9747,"N",9470,1.78446591330925,0.97158099928183
"8","101 ",9747,"Y",277,0.052196099048222,0.0284190007181697
"9","102 ",6838,"N",6249,1.17752138249942,0.913863702837087
"10","102 ",6838,"Y",589,0.110987373066436,0.0861362971629131
"11","103 ",12964,"N",12372,2.33130013510687,0.954335081764887
"12","103 ",12964,"Y",592,0.11155267377815,0.0456649182351126
"13","104 ",4888,"N",4676,0.881115375990925,0.956628477905074
"14","104 ",4888,"Y",212,0.0399479169610941,0.0433715220949263
"15","105 ",8194,"N",7718,1.45433029766851,0.941908713692946
"16","105 ",8194,"Y",476,0.0896943795918906,0.0580912863070539
"17","106 ",5018,"N",4808,0.905988607306323,0.958150657632523
"18","106 ",5018,"Y",210,0.0395710498199517,0.0418493423674771
"19","107 ",4438,"N",4255,0.80178484278045,0.958765209553853
"20","107 ",4438,"Y",183,0.0344833434145294,0.0412347904461469
"21","108 ",4094,"N",4054,0.763909695095639,0.990229604298974
"22","108 ",4094,"Y",40,0.00753734282284795,0.00977039570102589
"23","109 ",9672,"N",9274,1.7475329334773,0.958850289495451
"24","109 ",9672,"Y",398,0.0749965610873371,0.0411497105045492
"25","110 ",9075,"N",8727,1.64445977037485,0.961652892561983
"26","110 ",9075,"Y",348,0.0655748825587771,0.0383471074380165
"27","111 ",3749,"N",3706,0.698334812536862,0.988530274739931
"28","111 ",3749,"Y",43,0.00810264353456154,0.0114697252600694
"29","112 ",2788,"N",2679,0.504813535560241,0.96090387374462
"30","112 ",2788,"Y",109,0.0205392591922607,0.0390961262553802
"31","113 ",8711,"N",8365,1.57624681782808,0.960280105613592
"32","113 ",8711,"Y",346,0.0651980154176347,0.039719894386408
"33","114 ",8452,"N",8185,1.54232877512526,0.968409843823947
"34","114 ",8452,"Y",267,0.05031176334251,0.031590156176053
"35","115 ",8061,"N",7653,1.44208211558138,0.949385932266468
"36","115 ",8061,"Y",408,0.0768808967930491,0.0506140677335318
"37","120 ",12348,"N",11750,2.21409445421158,0.951571104632329
"38","120 ",12348,"Y",598,0.112683275201577,0.0484288953676709
"39","122 ",6394,"N",6219,1.17186837538228,0.972630591179231
"40","122 ",6394,"Y",175,0.0329758748499598,0.0273694088207695
"41","123 ",1935,"N",1900,0.358023784085278,0.981912144702842
"42","123 ",1935,"Y",35,0.00659517496999195,0.0180878552971576
"43","13  ",3821,"N",3440,0.648211482764923,0.900287882753206
"44","13  ",3821,"Y",381,0.0717931903876267,0.099712117246794
"45","14  ",8869,"N",8496,1.6009316155729,0.957943398353817
"46","14  ",8869,"Y",373,0.0702857218230571,0.0420566016461833
"47","17  ",1320,"N",1242,0.234034494649429,0.940909090909091
"48","17  ",1320,"Y",78,0.0146978185045535,0.0590909090909091
"49","18  ",2963,"N",2760,0.520076654776508,0.931488356395545
"50","18  ",2963,"Y",203,0.0382520148259533,0.0685116436044549
"51","19  ",4646,"N",4186,0.788782926411038,0.900990099009901
"52","19  ",4646,"Y",460,0.0866794424627514,0.099009900990099
"53","20  ",3260,"N",3092,0.582636600206146,0.948466257668712
"54","20  ",3260,"Y",168,0.0316568398559614,0.0515337423312883
"55","22  ",588,"N",582,0.109668338072438,0.989795918367347
"56","22  ",588,"Y",6,0.00113060142342719,0.0102040816326531
"57","23  ",10993,"N",10819,2.0386628000098,0.984171745656327
"58","23  ",10993,"Y",174,0.0327874412793886,0.0158282543436732
"59","24  ",4198,"N",3975,0.749023443020515,0.946879466412577
"60","24  ",4198,"Y",223,0.0420206862373773,0.0531205335874226
"61","25  ",6350,"N",5994,1.12947082200376,0.943937007874016
