"PCT","total","PF_HCUFF","FREQ","PERCENTAGE","normalisedFreq"
"105","61  ",6681,"N",6535,1.23141338368278,0.978146983984433
"106","61  ",6681,"Y",146,0.027511301303395,0.0218530160155665
"107","62  ",4462,"N",4345,0.818743864131858,0.973778574630211
"108","62  ",4462,"Y",117,0.0220467277568302,0.0262214253697893
"109","63  ",3651,"N",3527,0.664605203404618,0.96603670227335
"110","63  ",3651,"Y",124,0.0233657627508286,0.0339632977266502
"111","66  ",3420,"N",3316,0.624845720014095,0.969590643274854
"112","66  ",3420,"Y",104,0.0195970913394047,0.0304093567251462
"113","67  ",10783,"N",10605,1.99833801590756,0.983492534545117
"114","67  ",10783,"Y",178,0.0335411755616734,0.0165074654548827
"115","68  ",2548,"N",2480,0.467315255016573,0.973312401883831
"116","68  ",2548,"Y",68,0.0128134827988415,0.0266875981161695
"117","69  ",5357,"N",5261,0.991349014775076,0.98207952212059
"118","69  ",5357,"Y",96,0.0180896227748351,0.0179204778794101
"119","7   ",3483,"N",3352,0.631629328554658,0.962388745334482
"120","7   ",3483,"Y",131,0.024684797744827,0.0376112546655182
"121","70  ",11124,"N",10919,2.05750615706692,0.981571377202445
"122","70  ",11124,"Y",205,0.0386288819670957,0.0184286227975548
"123","71  ",4658,"N",4511,0.850023836846677,0.968441391155002
"124","71  ",4658,"Y",147,0.0276997348739662,0.0315586088449979
"125","72  ",5139,"N",5011,0.944240622132277,0.975092430433937
"126","72  ",5139,"Y",128,0.0241194970331134,0.0249075695660634
"127","73  ",21901,"N",21606,4.07129572576132,0.9865302954203
"128","73  ",21901,"Y",295,0.0555879033185036,0.0134697045796996
"129","75  ",24306,"N",23828,4.48999511957052,0.98033407389122
"130","75  ",24306,"Y",478,0.090071246733033,0.0196659261087797
"131","76  ",4476,"N",4310,0.812148689161866,0.962913315460232
"132","76  ",4476,"Y",166,0.031279972714819,0.0370866845397676
"133","77  ",9903,"N",9716,1.83082057166977,0.981116833282844
"134","77  ",9903,"Y",187,0.0352370776968142,0.0188831667171564
"135","78  ",3274,"N",3222,0.607132964380402,0.984117287721442
"136","78  ",3274,"Y",52,0.00979854566970233,0.0158827122785583
"137","79  ",15179,"N",14899,2.80747176794029,0.981553462019896
"138","79  ",15179,"Y",280,0.0527613997599356,0.0184465379801041
"139","81  ",9635,"N",9326,1.757331479147,0.967929423975091
"140","81  ",9635,"Y",309,0.0582259733065004,0.0320705760249092
"141","83  ",11795,"N",11463,2.16001401945765,0.971852479864349
"142","83  ",11795,"Y",332,0.062559945429638,0.0281475201356507
"143","84  ",3807,"N",3627,0.683448560461738,0.952718676122931
"144","84  ",3807,"Y",180,0.0339180427028158,0.0472813238770686
"145","88  ",5921,"N",5706,1.07520195367926,0.963688566120588
"146","88  ",5921,"Y",215,0.0405132176728077,0.0363114338794123
"147","9   ",5221,"N",4778,0.900335600189187,0.915150354338249
"148","9   ",5221,"Y",443,0.083476071763041,0.0848496456617506
"149","90  ",9831,"N",9671,1.82234106099406,0.98372495168345
"150","90  ",9831,"Y",160,0.0301493712913918,0.0162750483165497
"151","94  ",2089,"N",2030,0.382520148259533,0.971756821445668
"152","94  ",2089,"Y",59,0.0111175806637007,0.0282431785543322
