"PCT","total","PF_GRND","FREQ","PERCENTAGE","normalisedFreq"
"96","5   ",2756,"Y",7,0.00131903499399839,0.00253991291727141
"97","50  ",1818,"N",1805,0.340122594881014,0.992849284928493
"98","50  ",1818,"Y",13,0.00244963641742558,0.00715071507150715
"99","52  ",9735,"N",9718,1.83119743881091,0.998253723677452
"100","52  ",9735,"Y",17,0.00320337069971038,0.00174627632254751
"101","6   ",3600,"N",3568,0.672330979798037,0.991111111111111
"102","6   ",3600,"Y",32,0.00602987425827836,0.00888888888888889
"103","60  ",7775,"N",7736,1.45772210193879,0.994983922829582
"104","60  ",7775,"Y",39,0.00734890925227675,0.00501607717041801
"105","61  ",6681,"N",6673,1.25741721642161,0.998802574464901
"106","61  ",6681,"Y",8,0.00150746856456959,0.00119742553509954
"107","62  ",4462,"N",4447,0.837964088330121,0.996638278798745
"108","62  ",4462,"Y",15,0.00282650355856798,0.00336172120125504
"109","63  ",3651,"N",3644,0.686651931161448,0.998082717063818
"110","63  ",3651,"Y",7,0.00131903499399839,0.00191728293618187
"111","66  ",3420,"N",3412,0.64293534278893,0.99766081871345
"112","66  ",3420,"Y",8,0.00150746856456959,0.00233918128654971
"113","67  ",10783,"N",10752,2.02603775078153,0.997125104330891
"114","67  ",10783,"Y",31,0.00584144068770716,0.00287489566910878
"115","68  ",2548,"N",2538,0.478244402109702,0.99607535321821
"116","68  ",2548,"Y",10,0.00188433570571199,0.00392464678178964
"117","69  ",5357,"N",5352,1.00849646969706,0.999066641777114
"118","69  ",5357,"Y",5,0.000942167852855993,0.000933358222885944
"119","7   ",3483,"N",3469,0.653676056311488,0.995980476600632
"120","7   ",3483,"Y",14,0.00263806998799678,0.00401952339936836
"121","70  ",11124,"N",11096,2.09085889905802,0.997482919813017
"122","70  ",11124,"Y",28,0.00527613997599356,0.0025170801869831
"123","71  ",4658,"N",4643,0.874897068162075,0.996779733791327
"124","71  ",4658,"Y",15,0.00282650355856798,0.00322026620867325
"125","72  ",5139,"N",5116,0.964026147042252,0.995524421093598
"126","72  ",5139,"Y",23,0.00433397212313757,0.00447557890640202
"127","73  ",21901,"N",21871,4.12123062196269,0.998630199534268
"128","73  ",21901,"Y",30,0.00565300711713596,0.00136980046573216
"129","75  ",24306,"N",24245,4.56857191849871,0.997490331605365
"130","75  ",24306,"Y",61,0.0114944478048431,0.00250966839463507
"131","76  ",4476,"N",4466,0.841544326170973,0.997765862377122
"132","76  ",4476,"Y",10,0.00188433570571199,0.00223413762287757
"133","77  ",9903,"N",9873,1.86040464224944,0.996970614965162
"134","77  ",9903,"Y",30,0.00565300711713596,0.00302938503483793
"135","78  ",3274,"N",3273,0.616743076479533,0.999694563225412
"136","78  ",3274,"Y",1,0.000188433570571199,0.00030543677458766
"137","79  ",15179,"N",15137,2.85231895773623,0.997233019302984
"138","79  ",15179,"Y",42,0.00791420996399034,0.00276698069701561
"139","81  ",9635,"N",9610,1.81084661318922,0.997405293201868
"140","81  ",9635,"Y",25,0.00471083926427997,0.00259470679813181
"141","83  ",11795,"N",11770,2.21786312562301,0.997880457821111
"142","83  ",11795,"Y",25,0.00471083926427997,0.00211954217888936
"143","84  ",3807,"N",3794,0.714916966747128,0.99658523771999
"144","84  ",3807,"Y",13,0.00244963641742558,0.00341476228001051
"145","88  ",5921,"N",5909,1.11345396850521,0.997973315318358
"146","88  ",5921,"Y",12,0.00226120284685438,0.00202668468164161
"147","9   ",5221,"N",5182,0.976462762699952,0.992530166634744
"148","9   ",5221,"Y",39,0.00734890925227675,0.0074698333652557
"149","90  ",9831,"N",9811,1.84872176087403,0.997965618960431
"150","90  ",9831,"Y",20,0.00376867141142397,0.00203438103956871
"151","94  ",2089,"N",2083,0.392507127499807,0.997127812350407
"152","94  ",2089,"Y",6,0.00113060142342719,0.00287218764959311
