"PCT","total","PF_GRND","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N",3031,0.571142152401303,0.994748933377092
"2","1   ",3047,"Y",16,0.00301493712913918,0.00525106662290778
"3","10  ",2366,"N",2361,0.4448916601186,0.997886728655959
"4","10  ",2366,"Y",5,0.000942167852855993,0.00211327134404058
"5","100 ",4123,"N",4105,0.773519807194771,0.995634246907592
"6","100 ",4123,"Y",18,0.00339180427028158,0.00436575309240844
"7","101 ",9747,"N",9713,1.83025527095805,0.996511747204268
"8","101 ",9747,"Y",34,0.00640674139942075,0.00348825279573202
"9","102 ",6838,"N",6789,1.27927551060787,0.992834162035683
"10","102 ",6838,"Y",49,0.00923324495798874,0.00716583796431705
"11","103 ",12964,"N",12907,2.43211209536246,0.995603208886146
"12","103 ",12964,"Y",57,0.0107407135225583,0.00439679111385375
"13","104 ",4888,"N",4875,0.918613656534594,0.997340425531915
"14","104 ",4888,"Y",13,0.00244963641742558,0.00265957446808511
"15","105 ",8194,"N",8151,1.53592203372584,0.994752257749573
"16","105 ",8194,"Y",43,0.00810264353456154,0.00524774225042714
"17","106 ",5018,"N",4993,0.940848817861995,0.995017935432443
"18","106 ",5018,"Y",25,0.00471083926427997,0.0049820645675568
"19","107 ",4438,"N",4404,0.829861444795559,0.992338891392519
"20","107 ",4438,"Y",34,0.00640674139942075,0.00766110860748085
"21","108 ",4094,"N",4093,0.771258604347916,0.999755740107474
"22","108 ",4094,"Y",1,0.000188433570571199,0.000244259892525647
"23","109 ",9672,"N",9649,1.8181955224415,0.99762200165426
"24","109 ",9672,"Y",23,0.00433397212313757,0.00237799834574028
"25","110 ",9075,"N",9043,1.70400477867535,0.996473829201102
"26","110 ",9075,"Y",32,0.00602987425827836,0.00352617079889807
"27","111 ",3749,"N",3744,0.705495288218568,0.998666311016271
"28","111 ",3749,"Y",5,0.000942167852855993,0.00133368898372899
"29","112 ",2788,"N",2775,0.522903158335076,0.995337159253946
"30","112 ",2788,"Y",13,0.00244963641742558,0.00466284074605452
"31","113 ",8711,"N",8678,1.63522652541686,0.996211686373551
"32","113 ",8711,"Y",33,0.00621830782884956,0.00378831362644932
"33","114 ",8452,"N",8417,1.58604536349778,0.995858968291529
"34","114 ",8452,"Y",35,0.00659517496999195,0.00414103170847137
"35","115 ",8061,"N",8016,1.51048350169873,0.994417566058802
"36","115 ",8061,"Y",45,0.00847951067570394,0.00558243394119836
"37","120 ",12348,"N",12286,2.31509484803775,0.994978943958536
"38","120 ",12348,"Y",62,0.0116828813754143,0.0050210560414642
"39","122 ",6394,"N",6377,1.20164087953253,0.99734125742884
"40","122 ",6394,"Y",17,0.00320337069971038,0.00265874257116046
"41","123 ",1935,"N",1932,0.364053658343556,0.998449612403101
"42","123 ",1935,"Y",3,0.000565300711713596,0.00155038759689922
"43","13  ",3821,"N",3797,0.715482267458841,0.993718921748233
"44","13  ",3821,"Y",24,0.00452240569370877,0.00628107825176655
"45","14  ",8869,"N",8844,1.66650649813168,0.997181192919157
"46","14  ",8869,"Y",25,0.00471083926427997,0.00281880708084339
"47","17  ",1320,"N",1315,0.247790145301126,0.996212121212121
"48","17  ",1320,"Y",5,0.000942167852855993,0.00378787878787879
"49","18  ",2963,"N",2948,0.555502166043894,0.994937563280459
"50","18  ",2963,"Y",15,0.00282650355856798,0.00506243671954101
"51","19  ",4646,"N",4599,0.866605991056943,0.989883770985794
"52","19  ",4646,"Y",47,0.00885637781684634,0.0101162290142058
"53","20  ",3260,"N",3256,0.613539705779823,0.998773006134969
