"PCT","total","PF_PTWEP","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N",3037,0.57227275382473,0.996718083360683
"2","1   ",3047,"Y",10,0.00188433570571199,0.00328191663931736
"3","10  ",2366,"N",2363,0.445268527259743,0.998732037193576
"4","10  ",2366,"Y",3,0.000565300711713596,0.00126796280642434
"5","100 ",4123,"N",4105,0.773519807194771,0.995634246907592
"6","100 ",4123,"Y",18,0.00339180427028158,0.00436575309240844
"7","101 ",9747,"N",9715,1.8306321380992,0.996716938545193
"8","101 ",9747,"Y",32,0.00602987425827836,0.00328306145480661
"9","102 ",6838,"N",6820,1.28511695129557,0.997367651360047
"10","102 ",6838,"Y",18,0.00339180427028158,0.0026323486399532
"11","103 ",12964,"N",12918,2.43418486463874,0.996451712434434
"12","103 ",12964,"Y",46,0.00866794424627514,0.00354828756556618
"13","104 ",4888,"N",4885,0.920497992240305,0.999386252045827
"14","104 ",4888,"Y",3,0.000565300711713596,0.000613747954173486
"15","105 ",8194,"N",8169,1.53931383799612,0.996948987063705
"16","105 ",8194,"Y",25,0.00471083926427997,0.00305101293629485
"17","106 ",5018,"N",5008,0.943675321420563,0.998007174172977
"18","106 ",5018,"Y",10,0.00188433570571199,0.00199282582702272
"19","107 ",4438,"N",4412,0.831368913360129,0.994141505182515
"20","107 ",4438,"Y",26,0.00489927283485117,0.00585849481748535
"21","108 ",4094,"N",4086,0.769939569353918,0.998045920859795
"22","108 ",4094,"Y",8,0.00150746856456959,0.00195407914020518
"23","109 ",9672,"N",9659,1.82007985814721,0.998655913978495
"24","109 ",9672,"Y",13,0.00244963641742558,0.00134408602150538
"25","110 ",9075,"N",9056,1.70645441509278,0.997906336088154
"26","110 ",9075,"Y",19,0.00358023784085278,0.00209366391184573
"27","111 ",3749,"N",3746,0.70587215535971,0.999199786609763
"28","111 ",3749,"Y",3,0.000565300711713596,0.000800213390237397
"29","112 ",2788,"N",2778,0.52346845904679,0.996413199426112
"30","112 ",2788,"Y",10,0.00188433570571199,0.00358680057388809
"31","113 ",8711,"N",8681,1.63579182612858,0.99655607852141
"32","113 ",8711,"Y",30,0.00565300711713596,0.00344392147859029
"33","114 ",8452,"N",8437,1.5898140349092,0.998225272124941
"34","114 ",8452,"Y",15,0.00282650355856798,0.00177472787505916
"35","115 ",8061,"N",8030,1.51312157168673,0.996154323284952
"36","115 ",8061,"Y",31,0.00584144068770716,0.00384567671504776
"37","120 ",12348,"N",12317,2.32093628872545,0.997489471979268
"38","120 ",12348,"Y",31,0.00584144068770716,0.0025105280207321
"39","122 ",6394,"N",6383,1.20277148095596,0.998279637159837
"40","122 ",6394,"Y",11,0.00207276927628319,0.00172036284016265
"41","123 ",1935,"N",1934,0.364430525484698,0.999483204134367
"42","123 ",1935,"Y",1,0.000188433570571199,0.000516795865633075
"43","13  ",3821,"N",3808,0.717555036735125,0.996597749280293
"44","13  ",3821,"Y",13,0.00244963641742558,0.00340225071970688
"45","14  ",8869,"N",8860,1.66952143526082,0.998985229450896
"46","14  ",8869,"Y",9,0.00169590213514079,0.00101477054910362
"47","17  ",1320,"N",1315,0.247790145301126,0.996212121212121
"48","17  ",1320,"Y",5,0.000942167852855993,0.00378787878787879
"49","18  ",2963,"N",2953,0.55644433389675,0.996625042186973
"50","18  ",2963,"Y",10,0.00188433570571199,0.00337495781302734
"51","19  ",4646,"N",4630,0.87244743174465,0.996556177356866
"52","19  ",4646,"Y",16,0.00301493712913918,0.00344382264313388
"53","20  ",3260,"N",3253,0.612974405068109,0.997852760736196
"54","20  ",3260,"Y",7,0.00131903499399839,0.00214723926380368
"55","22  ",588,"N",588,0.110798939495865,1
"56","23  ",10993,"N",10983,2.06956590558348,0.999090330210134
"57","23  ",10993,"Y",10,0.00188433570571199,0.000909669789866278
"58","24  ",4198,"N",4184,0.788406059269895,0.996665078608861
"59","24  ",4198,"Y",14,0.00263806998799678,0.00333492139113864
"60","25  ",6350,"N",6325,1.19184233386283,0.996062992125984
"61","25  ",6350,"Y",25,0.00471083926427997,0.00393700787401575
"62","26  ",5399,"N",5384,1.01452634395533,0.997221707723652
"63","26  ",5399,"Y",15,0.00282650355856798,0.00277829227634747
"64","28  ",6691,"N",6675,1.25779408356275,0.997608728142281
"65","28  ",6691,"Y",16,0.00301493712913918,0.00239127185771932
"66","30  ",6156,"N",6141,1.15717055687773,0.997563352826511
"67","30  ",6156,"Y",15,0.00282650355856798,0.00243664717348928
"68","32  ",10656,"N",10615,2.00022235161327,0.996152402402402
"69","32  ",10656,"Y",41,0.00772577639341915,0.0038475975975976
"70","33  ",3612,"N",3605,0.679303021909171,0.998062015503876
"71","33  ",3612,"Y",7,0.00131903499399839,0.00193798449612403
"72","34  ",9664,"N",9650,1.81838395601207,0.998551324503311
"73","34  ",9664,"Y",14,0.00263806998799678,0.00144867549668874
"74","40  ",18229,"N",18204,3.4302447186781,0.998628558889681
"75","40  ",18229,"Y",25,0.00471083926427997,0.00137144111031872
"76","41  ",8596,"N",8582,1.61713690264203,0.998371335504886
"77","41  ",8596,"Y",14,0.00263806998799678,0.00162866449511401
"78","42  ",7737,"N",7714,1.45357656338623,0.997027271552281
"79","42  ",7737,"Y",23,0.00433397212313757,0.00297272844771875
"80","43  ",10630,"N",10606,1.99852644947813,0.997742238946378
"81","43  ",10630,"Y",24,0.00452240569370877,0.00225776105362182
"82","44  ",15378,"N",15351,2.89264374183847,0.998244245025361
"83","44  ",15378,"Y",27,0.00508770640542236,0.00175575497463909
"84","45  ",3990,"N",3978,0.749588743732228,0.996992481203008
"85","45  ",3990,"Y",12,0.00226120284685438,0.00300751879699248
"86","46  ",5619,"N",5603,1.05579329591043,0.99715251824168
"87","46  ",5619,"Y",16,0.00301493712913918,0.00284748175831999
"88","47  ",8917,"N",8875,1.67234793881939,0.995289895704834
"89","47  ",8917,"Y",42,0.00791420996399034,0.00471010429516654
"90","48  ",5408,"N",5391,1.01584537894933,0.99685650887574
"91","48  ",5408,"Y",17,0.00320337069971038,0.00314349112426036
"92","49  ",5771,"N",5766,1.08650796791353,0.999133599029631
"93","49  ",5771,"Y",5,0.000942167852855993,0.000866400970369087
"94","5   ",2756,"N",2753,0.51875761978251,0.998911465892598
"95","5   ",2756,"Y",3,0.000565300711713596,0.00108853410740203
"96","50  ",1818,"N",1802,0.3395572941693,0.991199119911991
"97","50  ",1818,"Y",16,0.00301493712913918,0.0088008800880088
"98","52  ",9735,"N",9722,1.83195117309319,0.998664612223934
"99","52  ",9735,"Y",13,0.00244963641742558,0.00133538777606574
"100","6   ",3600,"N",3593,0.677041819062317,0.998055555555556
"101","6   ",3600,"Y",7,0.00131903499399839,0.00194444444444444
"102","60  ",7775,"N",7752,1.46073703906793,0.997041800643087
"103","60  ",7775,"Y",23,0.00433397212313757,0.00295819935691318
"104","61  ",6681,"N",6675,1.25779408356275,0.999101930848675
"105","61  ",6681,"Y",6,0.00113060142342719,0.000898069151324652
"106","62  ",4462,"N",4459,0.840225291176975,0.999327655759749
"107","62  ",4462,"Y",3,0.000565300711713596,0.000672344240251008
"108","63  ",3651,"N",3637,0.68533289616745,0.996165434127636
"109","63  ",3651,"Y",14,0.00263806998799678,0.00383456587236374
"110","66  ",3420,"N",3413,0.643123776359501,0.997953216374269
"111","66  ",3420,"Y",7,0.00131903499399839,0.00204678362573099
"112","67  ",10783,"N",10753,2.0262261843521,0.997217842900862
"113","67  ",10783,"Y",30,0.00565300711713596,0.00278215709913753
"114","68  ",2548,"N",2539,0.478432835680274,0.996467817896389
"115","68  ",2548,"Y",9,0.00169590213514079,0.00353218210361068
"116","69  ",5357,"N",5353,1.00868490326763,0.999253313421691
"117","69  ",5357,"Y",4,0.000753734282284795,0.000746686578308755
"118","7   ",3483,"N",3475,0.654806657734915,0.997703129486075
"119","7   ",3483,"Y",8,0.00150746856456959,0.00229687051392478
"120","70  ",11124,"N",11103,2.09217793405202,0.998112189859763
"121","70  ",11124,"Y",21,0.00395710498199517,0.00188781014023732
"122","71  ",4658,"N",4641,0.874520201020933,0.996350364963504
"123","71  ",4658,"Y",17,0.00320337069971038,0.00364963503649635
"124","72  ",5139,"N",5112,0.963272412759968,0.994746059544658
"125","72  ",5139,"Y",27,0.00508770640542236,0.00525394045534151
"126","73  ",21901,"N",21868,4.12066532125097,0.998493219487695
"127","73  ",21901,"Y",33,0.00621830782884956,0.00150678051230537
"128","75  ",24306,"N",24271,4.57347119133356,0.998560026330947
"129","75  ",24306,"Y",35,0.00659517496999195,0.00143997366905291
"130","76  ",4476,"N",4459,0.840225291176975,0.996201966041108
"131","76  ",4476,"Y",17,0.00320337069971038,0.00379803395889187
"132","77  ",9903,"N",9886,1.86285427866687,0.998283348480258
"133","77  ",9903,"Y",17,0.00320337069971038,0.00171665151974149
"134","78  ",3274,"N",3273,0.616743076479533,0.999694563225412
"135","78  ",3274,"Y",1,0.000188433570571199,0.00030543677458766
"136","79  ",15179,"N",15150,2.85476859415366,0.998089465709204
"137","79  ",15179,"Y",29,0.00546457354656476,0.0019105342907965
"138","81  ",9635,"N",9604,1.80971601176579,0.996782563570317
"139","81  ",9635,"Y",31,0.00584144068770716,0.00321743642968345
"140","83  ",11795,"N",11778,2.21937059418758,0.998558711318355
"141","83  ",11795,"Y",17,0.00320337069971038,0.00144128868164476
"142","84  ",3807,"N",3798,0.715670701029413,0.997635933806147
"143","84  ",3807,"Y",9,0.00169590213514079,0.00236406619385343
"144","88  ",5921,"N",5915,1.11458456992864,0.998986657659179
"145","88  ",5921,"Y",6,0.00113060142342719,0.00101334234082081
"146","9   ",5221,"N",5201,0.980043000540804,0.996169316222946
"147","9   ",5221,"Y",20,0.00376867141142397,0.0038306837770542
"148","90  ",9831,"N",9809,1.84834489373289,0.997762180856474
"149","90  ",9831,"Y",22,0.00414553855256637,0.00223781914352558
"150","94  ",2089,"N",2089,0.393637728923234,1
