"PCT","total","PF_PEPSP","FREQ","PERCENTAGE","normalisedFreq"
"92","73  ",21901,"Y",2,0.000376867141142397,9.13200310488106e-05
"93","75  ",24306,"N",24305,4.57987793273298,0.99995885789517
"94","75  ",24306,"Y",1,0.000188433570571199,4.11421048300831e-05
"95","76  ",4476,"N",4475,0.843240228306114,0.999776586237712
"96","76  ",4476,"Y",1,0.000188433570571199,0.000223413762287757
"97","77  ",9903,"N",9902,1.86586921579601,0.999899020498839
"98","77  ",9903,"Y",1,0.000188433570571199,0.000100979501161264
"99","78  ",3274,"N",3274,0.616931510050104,1
"100","79  ",15179,"N",15178,2.86004473412965,0.999934119507214
"101","79  ",15179,"Y",1,0.000188433570571199,6.5880492786086e-05
"102","81  ",9635,"N",9634,1.81536901888293,0.999896211728075
"103","81  ",9635,"Y",1,0.000188433570571199,0.000103788271925272
"104","83  ",11795,"N",11795,2.22257396488729,1
"105","84  ",3807,"N",3806,0.717178169593982,0.999737325978461
"106","84  ",3807,"Y",1,0.000188433570571199,0.00026267402153927
"107","88  ",5921,"N",5920,1.1155267377815,0.999831109609863
"108","88  ",5921,"Y",1,0.000188433570571199,0.000168890390136801
"109","9   ",5221,"N",5219,0.983434804811086,0.999616931622295
"110","9   ",5221,"Y",2,0.000376867141142397,0.00038306837770542
"111","90  ",9831,"N",9830,1.85230199871488,0.999898280948022
"112","90  ",9831,"Y",1,0.000188433570571199,0.000101719051978436
"113","94  ",2089,"N",2089,0.393637728923234,1
