"PCT","total","PF_BATON","FREQ","PERCENTAGE","normalisedFreq"
"93","77  ",9903,"N",9902,1.86586921579601,0.999899020498839
"94","77  ",9903,"Y",1,0.000188433570571199,0.000100979501161264
"95","78  ",3274,"N",3274,0.616931510050104,1
"96","79  ",15179,"N",15179,2.86023316770022,1
"97","81  ",9635,"N",9635,1.8155574524535,1
"98","83  ",11795,"N",11795,2.22257396488729,1
"99","84  ",3807,"N",3806,0.717178169593982,0.999737325978461
"100","84  ",3807,"Y",1,0.000188433570571199,0.00026267402153927
"101","88  ",5921,"N",5921,1.11571517135207,1
"102","9   ",5221,"N",5219,0.983434804811086,0.999616931622295
"103","9   ",5221,"Y",2,0.000376867141142397,0.00038306837770542
"104","90  ",9831,"N",9829,1.85211356514431,0.999796561896043
"105","90  ",9831,"Y",2,0.000376867141142397,0.000203438103956871
"106","94  ",2089,"N",2088,0.393449295352663,0.999521302058401
"107","94  ",2089,"Y",1,0.000188433570571199,0.000478697941598851
