"PCT","total","FRISKED","OTHRWEAP","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N","N",1923,0.362357756208415,0.631112569740729
"2","1   ",3047,"N","Y",1,0.000188433570571199,0.000328191663931736
"3","1   ",3047,"Y","N",1119,0.210857165469171,0.367246471939613
"4","1   ",3047,"Y","Y",4,0.000753734282284795,0.00131276665572694
"5","10  ",2366,"N","N",1229,0.231584858232003,0.519442096365173
"6","10  ",2366,"Y","N",1128,0.212553067604312,0.476754015215554
"7","10  ",2366,"Y","Y",9,0.00169590213514079,0.00380388841927303
"8","100 ",4123,"N","N",2036,0.383650749682961,0.493815183119088
"9","100 ",4123,"Y","N",2081,0.392130260358664,0.504729565850109
"10","100 ",4123,"Y","Y",6,0.00113060142342719,0.00145525103080281
"11","101 ",9747,"N","N",2404,0.452994303653162,0.246639991792346
"12","101 ",9747,"N","Y",1,0.000188433570571199,0.000102595670462706
"13","101 ",9747,"Y","N",7331,1.38140650585746,0.752128860162101
"14","101 ",9747,"Y","Y",11,0.00207276927628319,0.00112855237508977
"15","102 ",6838,"N","N",2846,0.536281941845631,0.416203568294823
"16","102 ",6838,"N","Y",4,0.000753734282284795,0.000584966364434045
"17","102 ",6838,"Y","N",3941,0.742616701621094,0.576338110558643
"18","102 ",6838,"Y","Y",47,0.00885637781684634,0.00687335478210003
"19","103 ",12964,"N","N",5742,1.08198556221982,0.442918852206109
"20","103 ",12964,"N","Y",6,0.00113060142342719,0.000462820117247763
"21","103 ",12964,"Y","N",7156,1.3484306310075,0.551990126504165
"22","103 ",12964,"Y","Y",60,0.0113060142342719,0.00462820117247763
"23","104 ",4888,"N","N",1478,0.278504817304232,0.302373158756137
"24","104 ",4888,"Y","N",3404,0.64142787422436,0.696399345335516
"25","104 ",4888,"Y","Y",6,0.00113060142342719,0.00122749590834697
"26","105 ",8194,"N","N",3572,0.673084714080322,0.435928728337808
"27","105 ",8194,"Y","N",4592,0.865286956062944,0.560410056138638
"28","105 ",8194,"Y","Y",30,0.00565300711713596,0.00366121552355382
"29","106 ",5018,"N","N",2321,0.437354317295752,0.462534874451973
"30","106 ",5018,"Y","N",2683,0.505567269842526,0.534675169390195
"31","106 ",5018,"Y","Y",14,0.00263806998799678,0.00278995615783181
"32","107 ",4438,"N","N",1798,0.338803559887015,0.405137449301487
"33","107 ",4438,"N","Y",1,0.000188433570571199,0.000225326723749437
"34","107 ",4438,"Y","N",2630,0.495580290602253,0.592609283461018
"35","107 ",4438,"Y","Y",9,0.00169590213514079,0.00202794051374493
"36","108 ",4094,"N","N",2154,0.405885911010362,0.526135808500244
"37","108 ",4094,"N","Y",1,0.000188433570571199,0.000244259892525647
"38","108 ",4094,"Y","N",1927,0.3631114904907,0.470688812896922
"39","108 ",4094,"Y","Y",12,0.00226120284685438,0.00293111871030777
"40","109 ",9672,"N","N",3655,0.688724700437731,0.377894954507858
"41","109 ",9672,"Y","N",5995,1.12965925557434,0.619830438378825
"42","109 ",9672,"Y","Y",22,0.00414553855256637,0.00227460711331679
"43","110 ",9075,"N","N",1693,0.319018034977039,0.186556473829201
"44","110 ",9075,"Y","N",7362,1.38724794654516,0.811239669421488
"45","110 ",9075,"Y","Y",20,0.00376867141142397,0.00220385674931129
"46","111 ",3749,"N","N",1571,0.296029139367353,0.41904507868765
"47","111 ",3749,"Y","N",2174,0.409654582421786,0.579887970125367
"48","111 ",3749,"Y","Y",4,0.000753734282284795,0.0010669511869832
"49","112 ",2788,"N","N",1249,0.235353529643427,0.447991391678623
"50","112 ",2788,"Y","N",1530,0.288303362973934,0.548780487804878
"51","112 ",2788,"Y","Y",9,0.00169590213514079,0.00322812051649928
"52","113 ",8711,"N","N",3188,0.600726222980981,0.365974055791528
"53","113 ",8711,"N","Y",2,0.000376867141142397,0.000229594765239353
"54","113 ",8711,"Y","N",5498,1.03600777100045,0.63115600964298
