"PCT","total","PF_OTHER","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N",3013,0.567750348131022,0.988841483426321
"2","1   ",3047,"Y",34,0.00640674139942075,0.011158516573679
"3","10  ",2366,"N",2350,0.442818890842317,0.99323753169907
"4","10  ",2366,"Y",16,0.00301493712913918,0.00676246830092984
"5","100 ",4123,"N",4123,0.776911611465052,1
"6","101 ",9747,"N",9696,1.82705190025834,0.994767620806402
"7","101 ",9747,"Y",51,0.00961011209913113,0.00523237919359803
"8","102 ",6838,"N",6813,1.28379791630158,0.996343960222287
"9","102 ",6838,"Y",25,0.00471083926427997,0.00365603977771278
"10","103 ",12964,"N",12906,2.43192366179189,0.995526072199938
"11","103 ",12964,"Y",58,0.0109291470931295,0.00447392780006171
"12","104 ",4888,"N",4863,0.916352453687739,0.994885433715221
"13","104 ",4888,"Y",25,0.00471083926427997,0.00511456628477905
"14","105 ",8194,"N",8181,1.54157504084298,0.998413473273127
"15","105 ",8194,"Y",13,0.00244963641742558,0.00158652672687332
"16","106 ",5018,"N",5007,0.943486887849992,0.997807891590275
"17","106 ",5018,"Y",11,0.00207276927628319,0.00219210840972499
"18","107 ",4438,"N",4433,0.835326018342124,0.998873366381253
"19","107 ",4438,"Y",5,0.000942167852855993,0.00112663361874718
"20","108 ",4094,"N",4035,0.760329457254787,0.985588666340987
"21","108 ",4094,"Y",59,0.0111175806637007,0.0144113336590132
"22","109 ",9672,"N",9647,1.81781865530035,0.997415219189413
"23","109 ",9672,"Y",25,0.00471083926427997,0.00258478081058726
"24","110 ",9075,"N",9013,1.69835177155821,0.993168044077135
"25","110 ",9075,"Y",62,0.0116828813754143,0.00683195592286501
"26","111 ",3749,"N",3747,0.706060588930281,0.999466524406508
"27","111 ",3749,"Y",2,0.000376867141142397,0.000533475593491598
"28","112 ",2788,"N",2727,0.513858346947659,0.978120516499283
"29","112 ",2788,"Y",61,0.0114944478048431,0.0218794835007174
"30","113 ",8711,"N",8700,1.63937206396943,0.998737228791184
"31","113 ",8711,"Y",11,0.00207276927628319,0.00126277120881644
"32","114 ",8452,"N",8406,1.5839725942215,0.994557501183152
