"PCT","FRISKED","ARSTMADE","FREQ","PERCENTAGE"
"139","32  ","Y","N",5834,1.09932145071237
"140","32  ","Y","Y",682,0.128511695129558
"141","33  ","N","N",1396,0.263053264517393
"142","33  ","N","Y",31,0.00584144068770716
"143","33  ","Y","N",1977,0.37253316901926
"144","33  ","Y","Y",208,0.0391941826788093
"145","34  ","N","N",4912,0.925585698645728
"146","34  ","N","Y",29,0.00546457354656476
"147","34  ","Y","N",4350,0.819686031984714
"148","34  ","Y","Y",373,0.0702857218230571
"149","40  ","N","N",5253,0.989841546210507
"150","40  ","N","Y",165,0.0310915391442478
"151","40  ","Y","N",11936,2.24914309833783
"152","40  ","Y","Y",875,0.164879374249799
"153","41  ","N","N",3148,0.593188880158134
"154","41  ","N","Y",67,0.0126250492282703
"155","41  ","Y","N",5044,0.950458929961126
"156","41  ","Y","Y",337,0.063502113282494
"157","42  ","N","N",2057,0.387607854664956
"158","42  ","N","Y",126,0.023742629891971
"159","42  ","Y","N",4994,0.941037251432566
"160","42  ","Y","Y",560,0.105522799519871
"161","43  ","N","N",4225,0.796131835663314
"162","43  ","N","Y",130,0.0244963641742558
"163","43  ","Y","N",5588,1.05296679235186
"164","43  ","Y","Y",687,0.129453862982413
"165","44  ","N","N",3388,0.638412937095221
"166","44  ","N","Y",131,0.024684797744827
"167","44  ","Y","N",10655,2.00775969443612
"168","44  ","Y","Y",1204,0.226874018967723
"169","45  ","N","N",2142,0.403624708163508
"170","45  ","N","Y",50,0.00942167852855993
"171","45  ","Y","N",1525,0.287361195121078
"172","45  ","Y","Y",273,0.0514423647659372
"173","46  ","N","N",1104,0.208030661910603
"174","46  ","N","Y",42,0.00791420996399034
"175","46  ","Y","N",4259,0.802538577062735
"176","46  ","Y","Y",214,0.0403247841022365
"177","47  ","N","N",3303,0.622396083596669
"178","47  ","N","Y",107,0.0201623920511183
"179","47  ","Y","N",4986,0.939529782867997
"180","47  ","Y","Y",521,0.0981738902675945
"181","48  ","N","N",1809,0.340876329163298
"182","48  ","N","Y",30,0.00565300711713596
"183","48  ","Y","N",3407,0.641993174936074
"184","48  ","Y","Y",162,0.0305262384325342
"185","49  ","N","N",2358,0.444326359406886
"186","49  ","N","Y",55,0.0103638463814159
"187","49  ","Y","N",3064,0.577360460230153
"188","49  ","Y","Y",294,0.0553994697479324
"189","5   ","N","N",1536,0.289433964397361
"190","5   ","N","Y",67,0.0126250492282703
"191","5   ","Y","N",916,0.172605150643218
"192","5   ","Y","Y",237,0.0446587562253741
"193","50  ","N","N",886,0.166952143526082
"194","50  ","N","Y",30,0.00565300711713596
"195","50  ","Y","N",729,0.137368072946404
"196","50  ","Y","Y",173,0.0325990077088174
"197","52  ","N","N",3202,0.603364292968978
"198","52  ","N","Y",42,0.00791420996399034
"199","52  ","Y","N",6088,1.14718357763746
"200","52  ","Y","Y",403,0.0759387289401931
"201","6   ","N","N",1831,0.345021867715865
"202","6   ","N","Y",28,0.00527613997599356
"203","6   ","Y","N",1569,0.295652272226211
"204","6   ","Y","Y",172,0.0324105741382462
"205","60  ","N","N",3103,0.584709369482429
"206","60  ","N","Y",68,0.0128134827988415
"207","60  ","Y","N",4172,0.786144856423041
"208","60  ","Y","Y",432,0.0814033024867578
"209","61  ","N","N",3827,0.721135274575977
"210","61  ","N","Y",39,0.00734890925227675
"211","61  ","Y","N",2661,0.50142173128996
"212","61  ","Y","Y",154,0.0290187698679646
"213","62  ","N","N",2307,0.434716247307755
"214","62  ","N","Y",33,0.00621830782884956
"215","62  ","Y","N",1961,0.369518231890121
"216","62  ","Y","Y",161,0.030337804861963
"217","63  ","N","N",1145,0.215756438304022
"218","63  ","N","Y",26,0.00489927283485117
"219","63  ","Y","N",2309,0.435093114448898
"220","63  ","Y","Y",171,0.032222140567675
"221","66  ","N","N",1409,0.265502900934819
"222","66  ","N","Y",42,0.00791420996399034
"223","66  ","Y","N",1690,0.318452734265326
"224","66  ","Y","Y",279,0.0525729661893644
"225","67  ","N","N",4512,0.850212270417249
"226","67  ","N","Y",38,0.00716047568170555
"227","67  ","Y","N",5970,1.12494841631006
"228","67  ","Y","Y",263,0.0495580290602253
"229","68  ","N","N",1545,0.291129866532502
"230","68  ","N","Y",17,0.00320337069971038
"231","68  ","Y","N",819,0.154327094297812
"232","68  ","Y","Y",167,0.0314684062853902
"233","69  ","N","N",2847,0.536470375416203
