"PCT","FRISKED","ASLTWEAP","FREQ","PERCENTAGE"
"122","60  ","N","N",3171,0.597522852281271
"123","60  ","Y","N",4601,0.866982858198085
"124","60  ","Y","Y",3,0.000565300711713596
"125","61  ","N","N",3866,0.728484183828254
"126","61  ","Y","N",2815,0.530440501157924
"127","62  ","N","N",2340,0.440934555136605
"128","62  ","Y","N",2121,0.399667603181512
"129","62  ","Y","Y",1,0.000188433570571199
"130","63  ","N","N",1171,0.220655711138874
"131","63  ","Y","N",2479,0.467126821446001
"132","63  ","Y","Y",1,0.000188433570571199
"133","66  ","N","N",1451,0.273417110898809
"134","66  ","Y","N",1968,0.370837266884119
"135","66  ","Y","Y",1,0.000188433570571199
"136","67  ","N","N",4550,0.857372746098954
"137","67  ","Y","N",6231,1.17412957822914
"138","67  ","Y","Y",2,0.000376867141142397
"139","68  ","N","N",1562,0.294333237232212
"140","68  ","Y","N",986,0.185795500583202
"141","69  ","N","N",2872,0.541181214680483
"142","69  ","Y","N",2485,0.468257422869429
"143","7   ","N","N",1209,0.227816186820579
"144","7   ","Y","N",2274,0.428497939478906
"145","70  ","N","N",4563,0.85982238251638
"146","70  ","Y","N",6561,1.23631265651763
"147","71  ","N","N",2265,0.426802037343765
"148","71  ","Y","N",2392,0.450733100806307
"149","71  ","Y","Y",1,0.000188433570571199
"150","72  ","N","N",2393,0.450921534376878
"151","72  ","Y","N",2746,0.517438584788512
"152","73  ","N","N",12022,2.26534838540695
"153","73  ","Y","N",9878,1.8613468101023
"154","73  ","Y","Y",1,0.000188433570571199
"155","75  ","N","N",11892,2.2408520212327
"156","75  ","Y","N",12414,2.33921434507086
"157","76  ","N","N",2608,0.491434752049686
"158","76  ","Y","N",1868,0.351993909826999
"159","77  ","N","N",4616,0.869809361756653
"160","77  ","Y","N",5286,0.996059854039356
"161","77  ","Y","Y",1,0.000188433570571199
"162","78  ","N","N",2069,0.38986905751181
"163","78  ","Y","N",1205,0.227062452538294
"164","79  ","N","N",6846,1.29001622413043
"165","79  ","Y","N",8333,1.5702169435698
"166","81  ","N","N",3643,0.686463497590877
"167","81  ","Y","N",5992,1.12909395486262
"168","83  ","N","N",4435,0.835702885483266
"169","83  ","Y","N",7360,1.38687107940402
"170","84  ","N","N",2268,0.427367338055479
"171","84  ","Y","N",1539,0.289999265109075
"172","88  ","N","N",2910,0.548341690362188
"173","88  ","Y","N",3010,0.567185047419308
"174","88  ","Y","Y",1,0.000188433570571199
"175","9   ","N","N",2596,0.489173549202832
"176","9   ","N","Y",1,0.000188433570571199
"177","9   ","Y","N",2624,0.494449689178825
"178","90  ","N","N",5289,0.99662515475107
"179","90  ","Y","N",4542,0.855865277534384
"180","94  ","N","N",1138,0.214437403310024
"181","94  ","Y","N",951,0.17920032561321
