Precinct,Type,1990,1993,1998,2001,2012
14,Burglary,3513,2687,1020,876,315
14,Gr. Larceny,13326,9365,5133,4245,2172
14,G.L.A.,612,356,188,103,18
14,TOTAL,22843,15650,7637,6086,2889
17,Murder,6,0,0,0,2
17,Rape,12,14,7,8,10
17,Robbery,740,619,247,149,47
17,Fel. Assault,181,161,79,103,81
17,Burglary,1412,1230,548,265,136
17,Gr. Larceny,2910,2287,1490,1312,724
17,G.L.A.,843,639,203,111,24
17,TOTAL,6104,4950,2574,1948,1024
18,Murder,16,11,3,5,4
18,Rape,18,26,22,17,14
18,Robbery,2135,1388,595,394,123
18,Fel. Assault,389,496,343,251,129
18,Burglary,2912,2161,993,462,171
18,Gr. Larceny,8903,7683,4242,3966,1827
18,G.L.A.,1012,511,331,201,44
18,TOTAL,15385,12276,6529,5296,2312
19,Murder,9,5,6,1,
19,Rape,27,30,17,9,16
19,Robbery,1904,1378,459,359,129
19,Fel. Assault,312,295,185,127,120
19,Burglary,3695,3019,1028,701,240
19,Gr. Larceny,5406,3792,2167,2208,1447
19,G.L.A.,3338,3457,997,320,77
19,TOTAL,14691,11976,4859,3725,2029
20,Murder,3,1,3,1,2
20,Rape,13,20,17,7,12
20,Robbery,978,610,283,174,94
20,Fel. Assault,129,99,95,112,51
20,Burglary,1305,921,324,162,105
20,Gr. Larceny,2235,1798,813,877,721
20,G.L.A.,1679,1153,393,160,41
20,TOTAL,6342,4602,1928,1493,1026
22,Murder,3,2,1,1,
22,Rape,10,11,4,3,1
22,Robbery,152,204,80,37,15
22,Fel. Assault,44,37,21,10,7
22,Burglary,20,34,5,7,2
22,Gr. Larceny,132,176,76,69,76
22,G.L.A.,7,11,0,0,
22,TOTAL,368,475,187,127,101
23,Murder,31,27,15,9,2
23,Rape,36,64,37,31,29
23,Robbery,1108,933,479,379,270
23,Fel. Assault,738,579,478,329,262
23,Burglary,714,489,362,190,103
23,Gr. Larceny,595,567,300,249,320
23,G.L.A.,516,410,156,134,26
23,TOTAL,3738,3069,1827,1321,1012
24,Murder,18,23,2,3,4
24,Rape,34,35,17,12,10
24,Robbery,1193,889,430,341,177
24,Fel. Assault,259,460,271,181,134
24,Burglary,1360,1071,419,251,134
24,Gr. Larceny,1267,1126,523,522,581
24,G.L.A.,1510,990,356,193,46
24,TOTAL,5641,4594,2018,1503,1086
25,Murder,35,37,6,7,10
25,Rape,75,41,41,27,29
25,Robbery,1046,925,399,275,244
25,Fel. Assault,439,670,342,296,286
25,Burglary,800,540,286,172,133
25,Gr. Larceny,455,387,277,165,320
