"V2","val"
"3019900",2
"3092400",4
"1026100",1
"4037700",2
"2007900",1
"3038700",3
"2012901",1
"1008300",3
"1009300",3
"3028900",3
"3090800",4
"3050801",3
"3091200",4
"2002702",1
"3119400",3
"3091000",4
"4040700",3
"2019300",1
"3025300",3
"3036900",1
"3030700",1
"2039500",3
"2021301",2
"4044601",4
"1014801",2
"4003300",2
"3054200",2
"1029300",1
"2023702",2
"4029100",2
"2041300",1
"1011300",4
"2042100",3
"2037100",1
"3051300",3
"2015900",3
"1020000",2
"4080900",2
"1013200",2
"3039700",3
"2024100",1
"1012000",2
"2009000",3
"1023000",4
"5013301",3
"1016200",1
"2002300",1
"2004200",1
"3039200",2
"4023500",3
"2028900",2
"2021302",1
"2004300",4
"3113400",3
"1004700",2
"3030100",3
"1018200",4
"3062600",2
"1004000",3
"1011500",4
"1018000",4
"1002800",1
"5000300",2
"1007200",2
"2005002",3
"1007700",3
"3021900",3
"2030000",2
"3053800",3
"2024502",3
"4122702",1
"1013600",2
"3054800",2
"2005400",3
"2040100",4
"4013200",2
"1018300",3
"4098700",2
"1015002",2
"1022200",4
"3115600",4
"3090600",4
"3035000",3
"1003800",3
"1002000",1
"3048800",2
"1006600",3
"1021800",3
"1003001",2
"4062900",2
"2026702",1
"2023501",3
"2008500",1
"1024100",1
"3114201",2
"3034800",3
"1016900",2
"1019400",3
"2014100",3
"3013800",2
"1018100",2
"4010000",2
"2009300",4
"3023100",2
"1009600",2
"3090200",3
"4097204",3
"2002500",1
"1014200",2
"3079000",3
"2014701",1
"2035800",3
"2020100",3
"1026500",3
"5013203",2
"1022301",1
"1002201",3
"1010200",2
"1021000",1
"3025100",3
"2025100",1
"1003601",3
"2013500",3
"2023800",2
"3112400",3
"2002000",1
"4054000",3
"1019300",1
"3026100",3
"1013800",2
"3036400",3
"4077908",2
"2005100",4
"1000800",1
"1020800",3
"1015300",2
"1015601",2
"3120200",2
"3088600",3
"2007600",3
"1001600",1
"3121000",4
"4058100",2
"1003200",3
"1023501",3
"1028700",3
"2048400",2
"3035900",1
"5004000",4
"1023700",1
"2033000",1
"1011900",3
"3007600",3
"2033202",3
"4093401",2
"4025800",3
"4100801",2
"1019600",4
"1004100",3
"2041100",2
"1007900",2
"4087100",4
"5000700",3
"4095400",3
"4052100",2
"1029500",3
"3113200",2
"1022400",4
"1021600",3
"3035100",4
"5017009",2
"2004400",1
"1016001",2
"2046202",3
"4047800",2
"1017900",3
"2015100",1
"1006900",2
"2051600",2
"2021501",3
"3110400",4
"4027200",3
"1026900",4
"3014100",2
"3052300",1
"1022700",3
"4023600",2
"4040300",3
"2008700",1
"3024700",4
"2005001",3
"3091600",1
"4029400",3
"4037900",3
"4028900",2
"3012700",3
"3026900",3
"4012200",2
"4044602",3
"5024402",2
"2006100",2
"3013400",2
"3025000",2
"1016800",3
"1020901",3
"4037500",3
"2021001",3
"1021900",4
"5022300",2
"2016100",1
"4024600",2
"2029700",2
"4028400",2
"3117601",2
"4042600",2
"1005900",2
"1012800",2
"4040500",3
"1023300",1
"2036100",1
"2003900",4
"4088901",3
"2007300",3
"4086900",3
"5002900",4
"3082800",3
"3085600",3
"3111600",2
"3118000",2
"1002900",3
"4005400",3
"2015300",3
"3001300",2
"3028501",2
"3119600",4
"3117000",3
"1022800",3
"1027100",1
"3029900",3
"1017401",3
"4001900",2
"1021100",3
"3002200",3
"1004200",2
"2019400",2
"2038700",3
"5017600",2
"3013100",2
"2022000",2
"3032600",1
"2011900",4
"3069800",2
"3024900",3
"3018300",2
"2012500",3
"1016400",1
"2003300",1
"2038302",1
"4001400",2
"2017702",1
"5000600",2
"4079900",2
"4028700",3
"3120800",3
"3069602",2
"4109300",2
"3049000",3
"1019701",2
"4056800",3
"3110600",4
"3025902",4
"1007500",2
"1008602",2
"1018900",1
"2022300",4
"3086200",3
"2038000",3
"4103201",4
"4136700",2
"1029100",1
"1017000",3
"1025700",4
"4041300",3
"5002100",3
"2023900",1
"4020400",2
"1021303",3
"4040900",3
"4030903",2
"1016500",2
"3089200",3
"3034900",3
"3017700",3
"4050600",2
"3077600",2
"4038100",3
"3038500",3
"3043700",3
"1022000",3
"3015300",2
"2019500",3
"3092000",3
"1004300",3
"3039900",3
"4032900",2
"2037200",2
"5012100",2
"1006100",2
"3019200",2
"3040500",2
"3060000",2
"2023703",3
"3034200",1
"2023301",3
"3011900",2
"3050600",4
"1000600",1
"3001500",3
"3049300",4
"3024100",3
"1009800",2
"1005700",2
"2036501",3
"1024200",3
"1004800",2
"4068700",2
"2008600",3
"5010500",3
"1019500",2
"3029100",3
"3002901",1
"2012300",3
"4046200",3
"2038301",3
"2009800",2
"4001000",2
"3097000",2
"4026700",3
"4085300",3
"5007400",2
"3041900",3
"1012400",2
"3041700",3
"5011401",2
"4092900",2
"1006500",3
"1015100",3
"1007100",2
"3002100",2
"3005900",3
"4027100",3
"1007800",2
"3037700",3
"1007400",3
"3093000",2
"3026500",3
"4044301",3
"4027300",1
"1007300",3
"1021200",3
"4093800",2
"3027900",3
"4130100",2
"3012000",2
"2025700",2
"3006600",2
"4103202",3
"2019900",1
"4046900",3
"3058200",2
"1025300",1
"3006300",2
"1016600",1
"2025300",1
"2026500",1
"3099800",2
"2040702",3
"3049100",4
"4019000",2
"3079602",3
"4044302",3
"3052000",3
"1022500",1
"2028400",2
"2004100",4
"2041400",3
"4099801",3
"3114400",3
"5017005",2
"3089800",3
"2016600",2
"1017200",4
"1020102",3
"3026000",2
"3050500",3
"1023502",2
"3112600",4
"2029500",2
"3026300",3
"4084900",3
"2039901",1
"1006700",3
"3040100",3
"3055000",2
"4061800",2
"3051400",3
"1018600",4
"3012901",2
"4024000",4
"3007400",3
"2008300",1
"3121400",4
"4019400",2
"3087200",2
"4030600",2
"1001800",1
"3088800",2
"5024700",2
"2034000",2
"3030000",2
"3018100",2
"1004500",2
"4058200",3
"4040100",3
"3003300",3
"1011800",2
"4097202",3
"3008000",3
"2040900",2
"1017100",2
"3014500",2
"4011400",2
"3035200",3
"3038300",3
"3052700",1
"4036600",2
"2007500",3
"4046300",2
"1002500",1
"2017500",4
"4020800",2
"4008700",3
"1027700",4
"3035700",4
"5018701",2
"1012100",3
"2006400",2
"3057400",2
"3028100",1
"3080000",2
"3062200",2
"2017901",1
"3018501",1
"3009000",2
"1003400",3
"3077400",2
"2006200",1
"4012400",2
"3034300",1
"3051100",3
"1001501",2
"3041500",3
"4028500",2
"4101001",1
"3019100",2
"3096800",2
"3081600",2
"1024302",1
"3035300",3
"3048900",4
"3025500",4
"4026500",3
"3010000",3
"3001100",3
"3006700",2
"2032800",3
"4016800",2
"3070201",2
"3011400",2
"2023200",2
"4081400",2
"4085700",2
"4001200",2
"1021703",3
"4094500",2
"3028800",2
"3116800",2
"2046201",1
"3003900",2
"1023400",3
"4045900",2
"4023800",2
"3022700",3
"3054500",1
"4063200",2
"4049200",2
"2038100",1
"3032100",3
"3043500",3
"2020400",2
"3102400",2
"4094202",3
"3111000",3
"3008500",4
"3008400",3
"4026901",3
"2017902",3
"2037900",1
"3059600",2
"4061602",2
"3079801",2
"3032900",1
"2004800",3
"3060600",2
"2018900",1
"1008601",2
"3050900",3
"3027700",4
"4027500",3
"3115200",3
"3030500",3
"4010800",2
"4046500",3
"2003500",3
"4018300",2
"4038400",2
"3087800",2
"2025500",1
"3008800",2
"1017300",2
"3001800",2
"3021400",2
"1028300",1
"2006300",1
"2040600",3
"4010300",2
"5021300",3
"1015700",2
"1019100",3
"3029700",3
"1019800",3
"3098800",2
"3027800",2
"3002000",2
"3028700",3
"3010400",3
"3027100",4
"4096400",3
"3028502",3
"1014401",2
"4050800",2
"4025301",2
"3087000",2
"3028400",3
"3083800",2
"3010600",2
"2018102",4
"4033000",2
"1018400",4
"1028500",1
"3022000",2
"4028300",3
"2018301",3
"1025900",3
"3016600",2
"4019800",3
"2026300",1
"3068000",2
"5007500",2
"3038900",3
"4006900",2
"1022600",3
"4084602",2
"1008603",2
"2042500",1
"5011202",3
"4075701",2
"3023800",2
"4094201",2
"2015500",3
"3116600",3
"3000502",2
"2011502",1
"4056100",2
"5013204",2
"2039000",3
"3027500",3
"2022101",3
"3055200",3
"3015500",2
"1014900",2
"1022900",4
"2041900",1
"2013100",1
"4076901",2
"4162100",2
"4097203",4
"2015700",3
"4004002",2
"4015802",3
"3083000",3
"2016700",2
"5020700",4
"1006300",2
"1001002",1
"1007000",2
"4025100",2
"4019900",2
"2013300",1
"2043100",1
"3011200",3
"4101700",2
"2039902",1
"1018800",3
"3020800",2
"2043600",2
"5007700",3
"2014500",1
"3020300",2
"1002100",2
"4138502",2
"4137700",2
"1000900",2
"2020200",2
"4063700",2
"5015602",2
"1019900",2
"4000800",2
"3042800",2
"3022800",2
"4000700",2
"2037300",3
"2040304",3
"2022500",4
"4044800",2
"2039100",1
"1019702",2
"2042300",2
"2006700",1
"3073600",2
"3116200",2
"3018200",2
"1008800",2
"4065400",2
"3044900",3
"2042901",2
"3050700",3
"2029600",2
"1010100",4
"4084500",3
"3066600",2
"2040302",1
"3029300",3
"3034500",3
"3067000",2
"1005200",2
"2014400",1
"3021300",3
"3078600",3
"3080800",2
"5009700",2
"4021400",3
"4025302",2
"1003300",2
"3113000",3
"3094401",2
"3043300",3
"2006500",1
"3152200",2
"5018702",2
"5012200",2
"5029104",2
"3022900",3
"3024500",3
"2005902",2
"4014900",2
"2040701",3
"4062000",2
"3036700",3
"4016600",2
"1007600",3
"2037400",3
"4063900",2
"3055700",2
