"BoroCT2010","ACS_p_white","ACS_p_black","ACS_p_hispanic","ACS_p_edu_grad_HS","ACS_p_household_white","ACS_p_household_black","ACS_p_household_asian","ACS_p_household_hispanic","ACS_p_US_citizen","ACS_p_home_lang_english","ACS_p_home_lang_spanish","ACS_p_home_lang_other","ACS_p_pop_poverty","ACS_p_unemployed","ACS_p_civilian_labor_force","ACS_p_poverty_under100","ACS_p_poverty_100to149","ACS_p_poverty_200over","ACS_p_income_indv_75000ormore","ACS_p_house_social_security","ACS_p_house_supplemental_security","ACS_p_house_public_assistance","ACS_p_house_SNAP","ACS_avg_per_capita_income","stops"
4053900,65.52884615,0.552884615,52.06730769,29.88384372,70.2970297,0,20.50919378,42.99858557,81.5625,31.42055598,40.60188727,27.97755675,99.6875,4.004746366,54.0625,10.39305522,8.584518929,66.9399566,7.300559317,20.50919378,2.687411598,1.343705799,4.384724187,24045,214
4054000,13.63348129,78.69372226,14.45783133,32.65306122,16.07584501,71.47568013,2.96784831,17.14756801,84.1259776,66.39362409,10.93646225,22.66991366,99.85203974,9.310889006,57.36630734,22.73497036,4.508890771,63.48433531,6.45994832,21.59934048,3.544929926,10.55234955,33.05853256,20043,224
4054200,24.23802613,26.86865022,28.44702467,33.00080884,22.69896194,28.99653979,30.51903114,24.56747405,78.12046444,53.30134357,22.38003839,24.31861804,99.81857765,6.402303943,57.52902758,7.37913486,7.306434024,73.7913486,7.927225471,28.02768166,4.498269896,1.107266436,14.25605536,23777,198
4054500,66.38874414,0.885878062,70.58363731,34.98947368,73.11746988,1.807228916,7.454819277,63.55421687,64.92965086,21.15925718,64.04051773,14.8002251,100,5.440505441,48.46274101,26.60239708,11.95935383,45.20583637,5.532503458,16.03915663,4.292168675,6.325301205,19.95481928,17611,149
4054700,62.56753836,2.744759023,72.66047115,28.95894428,65.6202144,5.436447167,12.55742726,61.25574273,55.52193646,21.64090369,63.87633769,14.48275862,99.80548952,4.950205038,49.57856062,31.87527068,10.13425725,42.7024686,2.533103051,10.87289433,4.517611026,6.125574273,16.46248086,16102,136
4054800,16.31516116,38.44011142,16.59371269,32.14709371,21.06824926,38.57566766,26.5578635,14.3916914,76.52208516,48.69673149,14.02565163,37.27761688,100,4.605263158,63.43016315,7.719856745,3.342618384,87.38559491,12.24954463,23.88724036,2.96735905,2.522255193,7.121661721,35587,37
4054900,71.48608437,4.691055488,60.02100473,31.272838,73.66914711,3.835145965,11.90612479,55.40927304,66.19989498,26.38481112,47.97416324,25.64102564,99.91248031,5.582175371,49.41361806,20.67274001,18.95585144,41.06517169,2.201405152,14.31024614,5.151688609,4.235832856,11.104751,15908,476
4055100,77.99602737,1.655263739,50.01103509,33.87153387,80.91939547,2.392947103,5.415617129,39.4836272,69.14588391,41.02121362,32.33843118,26.64035521,100,5.762134544,47.58331494,20.65769146,16.02295299,48.73096447,7.049830125,19.52141058,4.534005038,3.400503778,14.4836272,20142,214
4055200,19.39809297,27.80095352,21.12634088,28.20953199,28.94499549,28.40396754,30.3877367,27.14156898,77.89034565,44.7020934,16.48953301,38.80837359,97.8545888,5.604395604,57.03218117,8.800243605,5.785627284,78.41047503,8.717762441,27.05139766,1.532912534,0.81154193,4.508566276,28036,128
4055300,48.98354308,7.88964182,70.47434656,29.34697089,55.72715573,10.16731017,10.68211068,68.98326898,72.4588577,28.63113898,57.36677116,14.00208986,100,4.519774011,44.482091,26.76669894,22.70087125,36.59244918,2.328431373,24.96782497,3.217503218,10.16731017,23.16602317,15276,229
4055400,30.08221226,25.33632287,26.60687593,22.07931404,41.01654846,12.88416076,30.26004728,32.9787234,68.34828102,33.22008305,26.65156663,40.12835032,100,4.212373848,63.19133034,3.811659193,17.22720478,77.42899851,11.18881119,25.6501182,1.300236407,0.11820331,4.728132388,27316,36
4055500,65.75562701,2.853697749,78.61736334,22.62443439,71.76966292,3.08988764,7.724719101,75.70224719,77.29099679,30.92050209,60.08368201,8.9958159,98.99517685,3.046683047,54.6221865,15.71254568,7.30816078,64.27121397,5.070697221,12.5,0.561797753,1.404494382,15.87078652,21211,147
4055600,26.64500406,15.63769293,30.38180341,34.97624703,32.3964497,17.6035503,30.62130178,32.3964497,89.84565394,46.2585034,22.02380952,31.71768708,99.14703493,7.613469985,65.06904955,2.908643998,1.884473576,85.49774683,8.630665381,34.31952663,1.183431953,0,4.142011834,25268,38
4055700,70.84946481,3.438852198,64.38168982,34.9082257,76.79640719,4.715568862,9.281437126,54.19161677,76.17854703,24.58617332,57.57059396,17.84323272,98.83853336,7.878446821,49.19152813,33.57142857,9.953917051,50.43778802,7.016084304,24.02694611,7.709580838,3.74251497,22.23053892,17646,254
4055800,24.87781036,17.35092864,25.90420332,27.10795902,25.68306011,22.95081967,28.59744991,21.31147541,86.41251222,51.77484787,24.64503043,23.5801217,99.75562072,5.931695626,62.65884653,6.565409113,0.244977952,86.42822146,11.74398121,13.66120219,0.910746812,0,0.910746812,27531,34
4055900,68.11989101,8.356039964,80.47229791,32.18390805,60.90651558,16.71388102,7.648725213,60.62322946,78.56494096,36.55378486,63.44621514,0,100,4.62962963,44.86830154,28.0653951,10.53587648,46.77565849,4.17721519,12.46458924,9.348441926,3.682719547,13.88101983,15302,92
4056000,21.92816635,18.84057971,14.11468179,39.33447099,33.06772908,17.33067729,20.91633466,13.94422311,87.77567738,46.92408377,14.65968586,38.41623037,100,4.444444444,63.45305608,12.35034657,7.561436673,80.08821676,7.8125,22.11155379,0,2.19123506,2.988047809,29650,25
4056100,74.48979592,0,62.24489796,7.272727273,68.29268293,0,31.70731707,68.29268293,100,70.40816327,29.59183674,0,100,0,59.18367347,0,0,90.81632653,0,12.19512195,0,0,0,36050,76
4056200,40.71510957,4.959630911,33.62168397,27.52639517,44.48897796,6.012024048,30.86172345,35.47094188,80.6805075,43.51005485,26.44728824,30.04265692,100,0.487125957,59.34256055,5.247981546,5.824682814,84.02537486,6.241519674,27.85571142,12.2244489,0,7.414829659,26093,8
4056400,38.74285714,20.34285714,22.74285714,32.85060976,50.51903114,15.2249135,31.66089965,24.04844291,70.8,36.43852979,19.77186312,43.7896071,100,4.244954767,51.88571429,3.142857143,13.02857143,64.85714286,9.782608696,35.46712803,8.650519031,1.384083045,10.20761246,25698,57
4056500,62.35146967,1.688555347,81.92620388,30.93709885,70.64439141,5.966587112,5.489260143,70.88305489,85.80362727,21.74524982,74.73610134,3.518648839,100,12.69191402,35.8974359,42.77673546,6.066291432,48.46779237,2.526724976,16.22911695,12.64916468,0,11.69451074,11136,101
4056600,18.88028588,13.99642644,28.94580107,34.14634146,26.05042017,17.43697479,30.67226891,29.41176471,72.1858249,38.80983182,26.19663648,34.9935317,100,7.789317507,68.07623586,4.46694461,0,85.88445503,10.12116892,17.64705882,2.521008403,1.470588235,4.62184874,25329,100
4056700,87.33224888,0.691337942,55.42903619,38.98360656,86.5972674,2.212101496,2.797657775,44.50227716,87.96258642,51.79777729,35.65046851,12.5517542,100,5.170603675,52.07401383,8.174054494,6.994713298,66.71411143,8.054908055,26.35003253,2.797657775,2.862719584,7.677293429,24775,122
4056800,11.4115234,71.71359314,18.83274287,33.46905538,16.90427699,66.87033265,4.752206382,22.81059063,77.81092672,38.85350319,16.83917198,44.30732484,99.88812232,5.71880651,53.73857915,6.02949412,8.530894157,77.07672205,7.184163701,20.5023761,10.72640869,1.629327902,16.90427699,23750,350
4057700,85.44241226,1.903114187,40.78101829,33.96905362,88.54092527,2.277580071,2.918149466,38.00711744,74.02372714,44.38386041,27.75354417,27.86259542,100,5.16287646,47.23183391,17.89421651,14.70588235,57.95847751,8.136721113,27.40213523,3.131672598,0.569395018,8.185053381,20642,86
4057900,91.05560032,0.402900886,33.36019339,42.14975845,92,0,2.181818182,22.18181818,87.83239323,59.5896521,16.59232828,23.81801963,100,1.78041543,38.03384367,34.48831587,6.124093473,42.30459307,1.762977473,36.18181818,15.27272727,5.454545455,11.81818182,16976,27
4058000,7.795431976,86.76762661,11.04766634,24.37006393,6.531332745,89.76169462,2.736098853,8.826125331,88.20754717,61.93735194,9.397209792,28.66543827,99.62760675,9.553349876,55.43694141,5.257911787,4.460503364,81.38549713,8.076805852,27.36098853,1.412180053,1.765225066,9.002647838,25932,133
4058100,88.07972403,1.188194711,42.69835186,34.43935927,86.98347107,2.376033058,6.714876033,36.26033058,81.75546186,40.76797386,33.33333333,25.89869281,100,2.551984877,50.28746646,21.19586048,2.951322346,67.07550786,6.129917658,28.61570248,1.446280992,0.723140496,5.991735537,25097,43
4058200,6.686103013,80.52478134,7.152575316,37.44192402,4.146170063,83.62614195,3.865073788,6.043569923,79.65014577,63.88606307,6.876907426,29.2370295,96.75413022,7.35434575,51.73955296,12.75612696,4.760948172,74.92969064,6.381470102,35.55867885,1.89739986,3.302881237,11.38439916,22090,328
4058300,73.9275766,7.437325905,41.67130919,26.95542473,83.19039451,1.715265866,1.372212693,32.0754717,76.68523677,44.10983171,26.18836729,29.701801,100,5.100992811,51.97771588,15.87743733,6.155988858,73.95543176,4.508748318,21.01200686,4.802744425,4.030874786,9.691252144,21955,47
