"inc[, 1]","V1"
"14000US36005040400",1
"14000US36005040501",1
"14000US36005040502",1
"14000US36005040600",1
"14000US36005040701",1
"14000US36005040702",1
"14000US36005040800",1
"14000US36005040900",1
"14000US36005041100",1
"14000US36005041300",1
"14000US36005041400",1
"14000US36005041500",1
"14000US36005041800",1
"14000US36005041900",1
"14000US36005042000",1
"14000US36005042100",1
"14000US36005042200",1
"14000US36005042300",1
"14000US36005042400",1
"14000US36005042500",1
"14000US36005042600",1
"14000US36005042800",1
"14000US36005042901",1
"14000US36005042902",1
"14000US36005043000",1
"14000US36005043100",1
"14000US36005043400",1
"14000US36005043600",1
"14000US36005044200",1
"14000US36005044400",1
"14000US36005044800",1
"14000US36005044901",3
"14000US36005044902",3
"14000US36005045101",3
"14000US36005045102",3
"14000US36005045600",1
"14000US36005045800",1
"14000US36005046000",1
"14000US36005046201",3
"14000US36005046202",1
"14000US36005048400",1
"14000US36005051600",3
"14000US36047000100",3
"14000US36047000200",1
"14000US36047000301",4
"14000US36047000501",2
"14000US36047000502",2
"14000US36047000700",2
"14000US36047000900",2
"14000US36047001100",3
"14000US36047001300",3
"14000US36047001500",3
"14000US36047001800",1
"14000US36047002000",1
"14000US36047002100",2
"14000US36047002200",1
"14000US36047002300",1
"14000US36047002901",1
"14000US36047003000",3
"14000US36047003100",3
"14000US36047003300",3
"14000US36047003400",3
"14000US36047003500",3
"14000US36047003600",3
"14000US36047003700",3
"14000US36047003800",3
"14000US36047003900",3
"14000US36047004100",3
"14000US36047004300",3
"14000US36047004400",3
"14000US36047004500",2
"14000US36047004600",3
"14000US36047004700",3
"14000US36047004900",3
"14000US36047005000",3
"14000US36047005100",3
"14000US36047005201",3
"14000US36047005202",3
"14000US36047005300",3
"14000US36047005400",3
"14000US36047005601",3
"14000US36047005602",3
"14000US36047005800",3
"14000US36047005900",3
"14000US36047006000",3
"14000US36047006200",3
"14000US36047006300",3
"14000US36047006400",3
"14000US36047006500",3
"14000US36047006600",3
"14000US36047006700",2
"14000US36047006800",1
"14000US36047006900",2
"14000US36047007000",1
"14000US36047007100",1
"14000US36047007200",1
"14000US36047007400",1
"14000US36047007500",3
"14000US36047007600",1
"14000US36047007700",3
"14000US36047007800",1
"14000US36047008000",1
"14000US36047008200",1
"14000US36047008400",1
"14000US36047008500",1
"14000US36047008800",1
"14000US36047009000",1
"14000US36047009200",1
"14000US36047009400",1
"14000US36047009600",1
"14000US36047009800",1
"14000US36047010000",1
"14000US36047010100",1
"14000US36047010200",1
"14000US36047010400",1
"14000US36047010600",1
"14000US36047010800",1
"14000US36047011000",1
"14000US36047011200",1
"14000US36047011400",1
"14000US36047011600",1
"14000US36047011700",3
"14000US36047011800",1
"14000US36047011900",3
"14000US36047012000",1
"14000US36047012100",3
"14000US36047012200",1
"14000US36047012600",1
"14000US36047012700",1
"14000US36047012801",1
"14000US36047012901",3
"14000US36047012902",3
"14000US36047013000",1
"14000US36047013100",3
"14000US36047013200",1
"14000US36047013300",3
"14000US36047013400",3
"14000US36047013500",2
"14000US36047013600",3
"14000US36047013700",3
"14000US36047013800",1
"14000US36047013900",3
"14000US36047014000",1
"14000US36047014100",3
"14000US36047014200",3
"14000US36047014300",3
"14000US36047014500",1
"14000US36047014700",3
"14000US36047014800",3
"14000US36047014900",3
"14000US36047015000",3
"14000US36047015100",2
"14000US36047015200",3
"14000US36047015300",2
"14000US36047015500",3
"14000US36047015700",2
"14000US36047015900",2
"14000US36047016000",3
"14000US36047016100",3
"14000US36047016200",3
"14000US36047016300",3
"14000US36047016500",2
"14000US36047016600",3
"14000US36047016700",3
"14000US36047016800",3
"14000US36047016900",3
"14000US36047017000",1
"14000US36047017100",3
"14000US36047017200",3
"14000US36047017400",1
"14000US36047017600",1
"14000US36047017800",1
"14000US36047017900",3
"14000US36047018000",1
"14000US36047018100",3
"14000US36047018200",1
"14000US36047018300",3
"14000US36047018400",3
"14000US36047018501",1
"14000US36047018600",3
"14000US36047018700",3
"14000US36047018800",1
"14000US36047019000",1
"14000US36047019100",1
"14000US36047019200",1
"14000US36047019300",1
"14000US36047019400",1
"14000US36047019500",3
"14000US36047019600",1
"14000US36047019700",3
"14000US36047019800",1
"14000US36047019900",3
"14000US36047020000",1
"14000US36047020100",3
"14000US36047020200",3
"14000US36047020300",3
"14000US36047020400",3
"14000US36047020500",3
"14000US36047020600",3
"14000US36047020700",3
"14000US36047020800",1
"14000US36047021000",1
"14000US36047021100",1
"14000US36047021200",1
"14000US36047021300",1
"14000US36047021400",1
"14000US36047021500",3
"14000US36047021600",1
"14000US36047021700",1
"14000US36047021800",1
"14000US36047021900",1
"14000US36047022000",1
"14000US36047022100",1
"14000US36047022200",1
"14000US36047022400",1
"14000US36047022600",1
"14000US36047022700",1
"14000US36047022800",1
"14000US36047022900",3
"14000US36047023000",1
"14000US36047023100",3
"14000US36047023200",1
"14000US36047023300",1
