"V2","val"
"3019900",1
"3092400",3
"1026100",3
"4037700",3
"2007900",3
"3038700",3
"2012901",3
"1008300",1
"1009300",2
"3028900",3
"3090800",3
"3050801",3
"3091200",3
"2002702",3
"3119400",3
"3091000",3
"4040700",3
"2019300",3
"3025300",3
"3036900",3
"3030700",3
"2039500",3
"2021301",3
"4044601",3
"1014801",2
"4003300",3
"3054200",3
"1029300",3
"2023702",3
"4029100",3
"2041300",3
"1011300",1
"2042100",3
"2037100",3
"3051300",1
"2015900",3
"1020000",1
"4080900",3
"1013200",2
"3039700",3
"2024100",3
"1012000",2
"2009000",3
"1023000",3
"5013301",3
"1016200",3
"2002300",3
"2004200",3
"3039200",3
"4023500",3
"2028900",3
"2021302",3
"2004300",3
"3113400",3
"1004700",2
"3030100",3
"1018200",3
"3062600",3
"1004000",1
"1011500",1
"1018000",3
"1002800",3
"5000300",1
"1007200",2
"2005002",3
"1007700",2
"3021900",3
"2030000",3
"3053800",3
"2024502",3
"4122702",3
"1013600",2
"3054800",3
"2005400",3
"2040100",3
"4013200",3
"1018300",1
"4098700",1
"1015002",2
"1022200",3
"3115600",3
"3090600",3
"3035000",3
"1003800",1
"1002000",3
"3048800",3
"1006600",1
"1021800",3
"1003001",1
"4062900",3
"2026702",3
"2023501",3
"2008500",3
"1024100",3
"3114201",3
"3034800",3
"1016900",2
"1019400",3
"2014100",3
"3013800",3
"1018100",1
"4010000",3
"2009300",3
"3023100",1
"1009600",2
"3090200",3
"4097204",3
"2002500",3
"1014200",2
"3079000",3
"2014701",3
"2035800",3
"2020100",3
"1026500",1
"5013203",1
"1022301",3
"1002201",3
"1010200",1
"1021000",3
"3025100",3
"2025100",3
"1003601",1
"2013500",3
"2023800",3
"3112400",3
"2002000",3
"4054000",3
"1019300",3
"3026100",3
"1013800",2
"3036400",3
"4077908",3
"2005100",3
"1000800",3
"1020800",3
"1015300",2
"1015601",1
"3120200",3
"3088600",3
"2007600",3
"1001600",3
"3121000",3
"4058100",3
"1003200",1
"1023501",3
"1028700",3
"2048400",3
"3035900",3
"5004000",3
"1023700",3
"2033000",3
"1011900",3
"3007600",3
"2033202",3
"4093401",1
"4025800",3
"4100801",3
"1019600",3
"1004100",1
"2041100",3
"1007900",2
"4087100",3
"5000700",3
"4095400",3
"4052100",3
"1029500",1
"3113200",3
"1022400",3
"1021600",3
"3035100",3
"5017009",1
"2004400",3
"1016001",2
"2046202",3
"4047800",3
"1017900",2
"2015100",3
"1006900",2
"2051600",1
"2021501",3
"3110400",3
"4027200",3
"1026900",3
"3014100",1
"3052300",3
"1022700",1
"4023600",3
"4040300",3
"2008700",3
"3024700",3
"2005001",3
"3091600",3
"4029400",3
"4037900",3
"4028900",3
"3012700",3
"3026900",3
"4012200",3
"4044602",3
"5024402",1
"2006100",3
"3013400",1
"3025000",3
"1016800",3
"1020901",3
"4037500",3
"2021001",3
"1021900",3
"5022300",3
"2016100",3
"2029700",1
"4028400",3
"3117601",3
"4042600",3
"1005900",2
"1012800",2
"4040500",3
"1023300",3
"2036100",3
"2003900",3
"4088901",3
"2007300",3
"4086900",3
"5002900",3
"3082800",3
"3085600",3
"3111600",3
"1002900",3
"4005400",3
"2015300",3
"3001300",1
"3028501",3
"3119600",3
"3117000",3
"1022800",3
"1027100",3
"3029900",3
"1017401",3
"4001900",1
"1021100",1
"3002200",3
"1004200",1
"2019400",3
"2038700",3
"5017600",1
"3013100",1
"2022000",3
"3032600",3
"2011900",3
"3069800",1
"3024900",3
"3018300",1
"2012500",3
"1016400",1
"2003300",3
"2038302",3
"4001400",3
"2017702",3
"5000600",1
"4079900",3
"4028700",3
"3120800",3
"3069602",1
"4109300",1
"3049000",3
"1019701",2
"4056800",3
"3110600",3
"3025902",3
"1007500",2
"1018900",3
"2022300",3
"3086200",3
"2038000",3
"4103201",3
"4136700",1
"1029100",3
"1017000",3
"1025700",1
"4041300",3
"5002100",3
"2023900",3
"4020400",3
"1021303",3
"4040900",3
"4030903",3
"1016500",2
"3089200",3
"3034900",3
"4050600",3
"3077600",3
"4038100",3
"3038500",3
"3043700",3
"1022000",3
"3015300",1
"2019500",3
"3092000",3
"1004300",1
"3039900",3
"4032900",3
"2037200",3
"5012100",1
"1006100",2
"3019200",3
"3040500",3
"3060000",1
"2023703",3
"3034200",3
"2023301",3
"3011900",1
"3050600",3
"1000600",3
"3001500",1
"3049300",3
"3024100",3
"1009800",2
"1005700",2
"2036501",3
"1024200",3
"1004800",1
"4068700",1
"2008600",3
"5010500",3
"1019500",1
"3029100",3
"3002901",3
"2012300",3
"4046200",3
"2038301",3
"2009800",3
"4001000",3
"3097000",3
"4026700",3
"4085300",3
"5007400",3
"3041900",3
"1012400",2
"3041700",3
"5011401",3
"4092900",1
"1006500",1
"1015100",1
"1007100",2
"3002100",2
"3005900",3
"4027100",3
"1007800",2
"3037700",3
"1007400",2
"3093000",3
"3026500",3
"4044301",3
"4027300",3
"1007300",2
"1021200",1
"4093800",3
"3027900",3
"4130100",1
"3012000",3
"2025700",3
"3006600",3
"4103202",3
"2019900",3
"4046900",3
"3058200",3
"1025300",3
"3006300",1
"1016600",3
"2025300",3
"2026500",3
"3099800",3
"2040702",3
"3049100",3
"4019000",3
"3079602",3
"4044302",3
"3052000",3
"1022500",3
"2028400",3
"2004100",3
"2041400",3
"4099801",3
"3114400",3
"5017005",1
"3089800",3
"2016600",1
"1017200",3
"1020102",3
"3026000",3
"3050500",3
"1023502",3
"3112600",3
"2029500",1
"3026300",3
"4084900",3
"2039901",3
"1006700",2
"3040100",3
"3055000",3
"4061800",1
"3051400",3
"1018600",3
"3012901",1
"4024000",3
"3007400",3
"2008300",3
"3121400",3
"4019400",3
"3087200",3
"4030600",3
"1001800",3
"3088800",3
"5024700",3
"2034000",3
"3030000",3
"3018100",1
"1004500",2
"4058200",3
"4040100",3
"3003300",1
"1011800",2
"4097202",3
"3008000",3
"2040900",3
"1017100",2
"3014500",3
"4011400",3
"3035200",3
"3038300",3
"3052700",3
"4036600",3
"2007500",3
"4046300",3
"1002500",3
"2017500",3
"4020800",3
"4008700",3
"1027700",3
"3035700",3
"5018701",1
"1012100",1
"2006400",3
"3057400",3
"3028100",3
"3080000",3
"3062200",3
"2017901",3
"3018501",3
"3009000",3
"1003400",1
"3077400",3
"2006200",3
"4012400",3
"3034300",3
"3051100",3
"1001501",1
"3041500",3
"4028500",1
"4101001",3
"3019100",3
"3096800",3
"3081600",3
"1024302",3
"3035300",3
"3048900",3
"3025500",3
"4026500",3
"3010000",3
"3001100",1
"3006700",2
"2032800",3
"4016800",3
"3070201",1
"3011400",3
"2023200",3
"4081400",3
"4085700",3
"4001200",3
"4094500",1
"3028800",3
"3116800",3
"2046201",3
"3003900",1
"1023400",3
"4045900",3
"4023800",3
"3022700",3
"3054500",3
"4063200",3
"4049200",3
"2038100",3
"3032100",3
"3043500",3
"2020400",3
"3102400",3
"4094202",3
"3111000",3
"3008500",3
"3008400",3
"4026901",3
"2017902",3
"2037900",3
"3059600",1
"4061602",1
"3079801",3
"3032900",3
"2004800",3
"3060600",3
"2018900",3
"1008601",2
"3050900",3
"3027700",3
"4027500",3
"3115200",3
"3030500",3
"4010800",3
"4046500",3
"2003500",3
"4018300",1
"4038400",3
"3087800",3
"2025500",3
"3008800",3
"1017300",2
"3001800",3
"3021400",3
"1028300",3
"2006300",3
"2040600",3
"4010300",1
"5021300",3
"1015700",2
"1019100",1
"3029700",1
"1019800",1
"3098800",3
"3027800",3
"3002000",3
"3028700",3
"3010400",3
"3027100",3
"4096400",3
"3028502",3
"1014401",2
"4050800",3
"4025301",3
"3087000",3
"3028400",3
"3083800",3
"3010600",3
"2018102",3
"4033000",3
"1018400",3
"1028500",3
"3022000",3
"4028300",3
"2018301",3
"1025900",1
"3016600",1
"4019800",3
"2026300",3
"3068000",3
"5007500",3
"3038900",3
"4006900",3
"1022600",1
"4084602",3
"1008603",2
"2042500",3
"5011202",1
"4075701",1
"3023800",3
"4094201",3
"2015500",3
"3116600",3
"3000502",2
"2011502",3
"4056100",1
"5013204",1
"2039000",3
"3027500",3
"2022101",3
"3055200",3
"3015500",1
"1014900",2
"1022900",3
"2041900",3
"2013100",3
"4076901",1
"4162100",3
"4097203",3
"2015700",3
"4004002",3
"4015802",3
"3083000",3
"2016700",3
"5020700",3
"1006300",2
"1001002",3
"1007000",2
"4025100",3
"4019900",3
"2013300",3
"2043100",3
"3011200",3
"4101700",1
"2039902",3
"1018800",3
"3020800",3
"2043600",3
"5007700",3
"2014500",3
"3020300",1
"1002100",2
"4137700",3
"1000900",2
"2020200",3
"4063700",3
"5015602",1
"1019900",1
"4000800",3
"3042800",3
"3022800",3
"4000700",1
"2037300",3
"2040304",3
"2022500",3
"4044800",3
"2039100",3
"1019702",1
"2042300",3
"2006700",3
"3073600",3
"3116200",3
"3018200",3
"1008800",2
"4065400",3
"3044900",3
"2042901",3
"3050700",3
"2029600",3
"1010100",1
"4084500",3
"2040302",3
"3029300",3
"3034500",3
"3067000",3
"1005200",2
"2014400",3
"3021300",3
"3078600",3
"3080800",3
"5009700",1
"4021400",3
"4025302",3
"1003300",2
"3113000",3
"3094401",3
"3043300",3
"2006500",3
"3152200",1
"5018702",3
"5012200",1
"5029104",1
"3022900",3
"3024500",3
"2005902",3
"4014900",1
"2040701",3
"4062000",1
"3036700",3
"4016600",3
"1007600",2
"2037400",3
"4063900",1
"3055700",1
"3049600",3
"4070300",1
"2021502",3
"3043000",3
"4028800",3
"1003100",1
"4015900",3
"4099200",3
"3089000",3
"4044000",3
"3024000",3
"3082000",3
"1027900",3
"3118400",3
"4027800",3
"3086600",3
"5031902",3
"3112200",3
"2036800",3
"1001001",1
"4103900",3
"2004600",3
"1015900",2
"4062500",1
"3056100",1
"2046000",3
"1015200",1
"2042902",3
"1009500",1
"4014202",3
"4021200",3
"1013300",1
"4064102",3
"4009800",3
"3059402",1
"3050803",3
"3009800",3
"3051601",3
"3115800",3
"4041400",3
"4099802",3
"3041300",3
"3051200",3
"3079400",3
"4014700",1
"3051602",3
"4015500",1
"4071701",1
"3010800",3
"1009100",2
