"fs[, 1]","V1"
"14000US36061017200",3
"14000US36061017300",1
"14000US36061017401",2
"14000US36061017402",1
"14000US36061017500",1
"14000US36061017700",2
"14000US36061017800",1
"14000US36061017900",1
"14000US36061018000",3
"14000US36061018100",1
"14000US36061018200",3
"14000US36061018300",2
"14000US36061018400",3
"14000US36061018500",1
"14000US36061018600",3
"14000US36061018700",1
"14000US36061018800",2
"14000US36061018900",2
"14000US36061019000",1
"14000US36061019100",1
"14000US36061019200",2
"14000US36061019300",2
"14000US36061019400",2
"14000US36061019500",1
"14000US36061019600",3
"14000US36061019701",1
"14000US36061019702",1
"14000US36061019800",1
"14000US36061019900",1
"14000US36061020000",1
"14000US36061020101",1
"14000US36061020102",1
"14000US36061020300",1
"14000US36061020500",1
"14000US36061020600",1
"14000US36061020701",1
"14000US36061020800",2
"14000US36061020901",2
"14000US36061021000",2
"14000US36061021100",2
"14000US36061021200",2
"14000US36061021303",2
"14000US36061021400",2
"14000US36061021500",1
"14000US36061021600",2
"14000US36061021703",1
"14000US36061021800",3
"14000US36061021900",3
"14000US36061022000",2
"14000US36061022102",1
"14000US36061022200",3
"14000US36061022301",2
"14000US36061022302",2
"14000US36061022400",3
"14000US36061022500",2
"14000US36061022600",1
"14000US36061022700",2
"14000US36061022800",2
"14000US36061022900",3
"14000US36061023000",3
"14000US36061023100",2
"14000US36061023200",3
"14000US36061023300",2
"14000US36061023400",2
"14000US36061023501",2
"14000US36061023502",1
"14000US36061023600",2
"14000US36061023700",2
"14000US36061023802",1
"14000US36061023900",1
"14000US36061024000",1
"14000US36061024100",2
"14000US36061024200",2
"14000US36061024301",2
"14000US36061024302",3
"14000US36061024500",2
"14000US36061024700",2
"14000US36061024900",1
"14000US36061025100",2
"14000US36061025300",2
"14000US36061025500",1
"14000US36061025700",3
"14000US36061025900",2
"14000US36061026100",2
"14000US36061026300",2
"14000US36061026500",2
"14000US36061026700",1
"14000US36061026900",3
"14000US36061027100",3
"14000US36061027300",1
"14000US36061027500",1
"14000US36061027700",3
"14000US36061027900",2
"14000US36061028100",1
"14000US36061028300",2
"14000US36061028500",2
"14000US36061028700",2
"14000US36061029100",2
"14000US36061029300",3
"14000US36061029500",2
"14000US36061029700",1
"14000US36061029900",2
"14000US36061030300",1
"14000US36061030700",1
"14000US36061030900",2
"14000US36061031100",1
"14000US36061031703",1
"14000US36061031704",1
"14000US36061031900",1
"14000US36081000100",1
"14000US36081000200",1
"14000US36081000400",2
"14000US36081000600",1
"14000US36081000700",1
"14000US36081000800",1
"14000US36081001000",1
"14000US36081001200",1
"14000US36081001400",1
"14000US36081001600",1
"14000US36081001800",1
"14000US36081001900",1
"14000US36081002000",1
"14000US36081002200",1
"14000US36081002400",1
"14000US36081002500",3
"14000US36081002600",1
"14000US36081002800",1
"14000US36081003000",1
"14000US36081003100",1
"14000US36081003200",1
"14000US36081003300",1
"14000US36081003400",1
"14000US36081003600",1
"14000US36081003700",1
"14000US36081003800",1
"14000US36081003900",1
"14000US36081004001",1
"14000US36081004002",1
"14000US36081004200",1
"14000US36081004300",2
"14000US36081004401",1
"14000US36081004500",1
"14000US36081004700",2
"14000US36081005000",1
"14000US36081005100",1
"14000US36081005200",1
"14000US36081005300",1
"14000US36081005400",1
"14000US36081005500",1
"14000US36081005700",1
"14000US36081005800",1
"14000US36081005900",1
"14000US36081006100",1
"14000US36081006201",1
"14000US36081006202",1
"14000US36081006300",1
"14000US36081006501",1
"14000US36081006502",1
"14000US36081006900",1
"14000US36081007100",1
"14000US36081007300",1
"14000US36081007500",1
"14000US36081007700",1
"14000US36081007900",1
"14000US36081008100",1
"14000US36081008300",1
"14000US36081008500",1
"14000US36081008600",1
"14000US36081008700",2
"14000US36081008800",1
"14000US36081009100",1
"14000US36081009400",1
"14000US36081009500",1
"14000US36081009600",1
"14000US36081009700",1
"14000US36081009800",1
"14000US36081009900",1
"14000US36081010000",1
"14000US36081010100",1
"14000US36081010200",1
"14000US36081010300",1
"14000US36081010400",1
"14000US36081010500",1
"14000US36081010600",1
"14000US36081010701",1
"14000US36081010800",1
"14000US36081011000",1
"14000US36081011100",1
"14000US36081011200",1
"14000US36081011300",1
"14000US36081011400",1
"14000US36081011500",1
"14000US36081011600",1
"14000US36081011700",1
"14000US36081011800",1
"14000US36081011900",1
"14000US36081012000",1
"14000US36081012100",1
"14000US36081012200",1
"14000US36081012301",1
"14000US36081012400",1
"14000US36081012500",1
"14000US36081012601",1
"14000US36081012602",1
"14000US36081012800",1
"14000US36081013000",1
"14000US36081013200",1
"14000US36081013400",1
"14000US36081013500",1
"14000US36081013600",1
"14000US36081013700",1
"14000US36081013800",1
"14000US36081014000",1
"14000US36081014100",1
"14000US36081014201",1
"14000US36081014202",1
"14000US36081014300",1
"14000US36081014400",1
"14000US36081014500",1
"14000US36081014700",1
"14000US36081014800",1
"14000US36081014900",1
"14000US36081015000",1
"14000US36081015100",1
"14000US36081015200",1
"14000US36081015300",1
"14000US36081015400",1
"14000US36081015500",1
"14000US36081015600",1
"14000US36081015700",1
"14000US36081015801",1
"14000US36081015802",1
"14000US36081015900",1
"14000US36081016100",1
"14000US36081016300",2
"14000US36081016400",1
"14000US36081016600",1
"14000US36081016800",1
"14000US36081016900",1
"14000US36081017000",1
"14000US36081017100",1
"14000US36081017200",1
"14000US36081017400",1
"14000US36081017600",1
"14000US36081017800",1
"14000US36081017900",1
"14000US36081018000",1
"14000US36081018101",1
"14000US36081018102",1
"14000US36081018200",1
"14000US36081018300",1
"14000US36081018401",1
"14000US36081018402",1
"14000US36081018501",1
"14000US36081018502",1
"14000US36081018600",1
"14000US36081018700",1
"14000US36081018800",1
"14000US36081018900",1
"14000US36081019000",1
"14000US36081019200",1
"14000US36081019400",1
"14000US36081019600",1
"14000US36081019800",1
"14000US36081019900",1
"14000US36081020200",1
"14000US36081020400",1
"14000US36081020500",1
"14000US36081020600",1
"14000US36081020800",1
"14000US36081021200",2
"14000US36081021400",1
"14000US36081021600",1
"14000US36081021900",1
"14000US36081022001",1
"14000US36081022002",1
"14000US36081022900",1
"14000US36081023000",1
"14000US36081023200",1
"14000US36081023500",2
"14000US36081023600",1
"14000US36081023800",1
"14000US36081024000",3
"14000US36081024300",1
"14000US36081024500",1
"14000US36081024600",1
"14000US36081024700",1
"14000US36081024900",1
"14000US36081025100",1
"14000US36081025301",1
"14000US36081025302",1
"14000US36081025400",3
"14000US36081025500",1
"14000US36081025700",1
"14000US36081025800",1
"14000US36081025900",1
"14000US36081026000",2
"14000US36081026100",1
"14000US36081026200",1
"14000US36081026300",1
"14000US36081026400",1
"14000US36081026500",1
"14000US36081026600",1
"14000US36081026700",2
"14000US36081026901",2
"14000US36081026902",1
"14000US36081027000",1
"14000US36081027100",2
"14000US36081027200",1
"14000US36081027300",2
"14000US36081027400",1
"14000US36081027500",2
"14000US36081027600",1
"14000US36081027700",2
"14000US36081027800",1
"14000US36081027900",1
"14000US36081028000",1
"14000US36081028100",1
"14000US36081028200",1
"14000US36081028300",2
"14000US36081028400",1
"14000US36081028500",1
"14000US36081028700",2
"14000US36081028800",2
"14000US36081028900",1
"14000US36081029100",1
"14000US36081029300",1
"14000US36081029400",2
"14000US36081029500",1
"14000US36081029700",1
"14000US36081029900",1
"14000US36081030600",1
"14000US36081030902",1
"14000US36081030903",1
"14000US36081030904",1
"14000US36081031700",1
"14000US36081032000",1
"14000US36081032700",1
"14000US36081032800",1
"14000US36081032900",1
"14000US36081033000",1
"14000US36081033100",1
"14000US36081033401",1
"14000US36081033402",2
"14000US36081033700",1
"14000US36081033900",1
"14000US36081034700",1
"14000US36081035100",1
"14000US36081035200",1
"14000US36081035300",1
"14000US36081035700",1
"14000US36081035800",1
"14000US36081036100",1
"14000US36081036300",1
"14000US36081036500",1
"14000US36081036600",1
"14000US36081036700",1
"14000US36081036800",1
"14000US36081037100",1
"14000US36081037300",1
"14000US36081037500",1
"14000US36081037600",1
"14000US36081037700",1
"14000US36081037900",2
"14000US36081038100",2
"14000US36081038301",1
"14000US36081038400",1
"14000US36081039400",1
"14000US36081039800",1
"14000US36081039900",1
"14000US36081040000",1
"14000US36081040100",2
"14000US36081040200",1
"14000US36081040300",2
"14000US36081040400",1
"14000US36081040500",2
"14000US36081040700",2
"14000US36081040900",2
"14000US36081041100",1
"14000US36081041300",1
"14000US36081041400",2
"14000US36081041500",1
"14000US36081042400",1
"14000US36081042600",1
"14000US36081042700",1
"14000US36081043200",1
"14000US36081043400",1
"14000US36081043701",1
"14000US36081043702",1
"14000US36081043900",1
"14000US36081044000",1
"14000US36081044301",2
"14000US36081044302",1
"14000US36081044400",2
"14000US36081044601",3
"14000US36081044602",2
"14000US36081044800",1
"14000US36081045000",1
"14000US36081045200",1
"14000US36081045400",1
"14000US36081045500",2
"14000US36081045600",1
"14000US36081045700",1
"14000US36081045800",1
"14000US36081045900",1
"14000US36081046000",2
"14000US36081046100",1
"14000US36081046200",2
"14000US36081046300",1
"14000US36081046400",1
"14000US36081046500",1
"14000US36081046600",1
"14000US36081046700",1
"14000US36081046800",1
"14000US36081046900",2
"14000US36081047000",1
"14000US36081047100",1
"14000US36081047200",1
"14000US36081047300",1
"14000US36081047500",1
"14000US36081047600",1
"14000US36081047800",1
"14000US36081047900",1
"14000US36081048000",1
"14000US36081048100",1
"14000US36081048200",1
"14000US36081048300",1
"14000US36081048400",1
"14000US36081048500",1
"14000US36081048900",1
"14000US36081049200",1
"14000US36081049301",1
"14000US36081049302",1
"14000US36081049500",1
"14000US36081049600",1
"14000US36081049700",1
"14000US36081049900",1
"14000US36081050000",1
"14000US36081050201",1
"14000US36081050202",1
"14000US36081050400",1
"14000US36081050500",1
"14000US36081050600",1
"14000US36081050700",1
"14000US36081050800",1
"14000US36081051000",1
"14000US36081051100",1
"14000US36081051200",1
"14000US36081051300",1
"14000US36081051500",1
"14000US36081051600",1
"14000US36081051700",1
"14000US36081051800",1
"14000US36081052000",1
"14000US36081052100",1
"14000US36081052200",1
"14000US36081052400",1
"14000US36081052500",1
"14000US36081052600",1
"14000US36081052800",1
"14000US36081053000",1
"14000US36081053100",1
"14000US36081053200",1
"14000US36081053401",1
"14000US36081053500",1
"14000US36081053601",1
"14000US36081053800",1
"14000US36081053900",1
"14000US36081054000",1
"14000US36081054200",1
"14000US36081054500",1
"14000US36081054700",1
"14000US36081054800",1
"14000US36081054900",1
"14000US36081055100",1
"14000US36081055200",1
"14000US36081055300",1
"14000US36081055400",1
"14000US36081055500",1
"14000US36081055600",1
"14000US36081055700",1
"14000US36081055800",1
"14000US36081055900",1
"14000US36081056000",1
"14000US36081056100",1
"14000US36081056200",1
"14000US36081056400",1
"14000US36081056500",1
"14000US36081056600",1
"14000US36081056700",1
"14000US36081056800",1
"14000US36081057700",1
"14000US36081057900",1
"14000US36081058000",1
"14000US36081058100",1
"14000US36081058200",1
"14000US36081058300",1
"14000US36081058500",1
"14000US36081058700",1
"14000US36081058900",1
"14000US36081059000",1
"14000US36081059100",1
"14000US36081059200",1
"14000US36081059300",1
"14000US36081059400",1
"14000US36081059500",1
"14000US36081059600",1
"14000US36081059800",1
"14000US36081059900",1
"14000US36081060000",1
"14000US36081060100",1
"14000US36081060300",1
"14000US36081060600",1
"14000US36081060701",1
"14000US36081060800",1
"14000US36081061000",1
"14000US36081061200",1
"14000US36081061301",1
"14000US36081061400",1
"14000US36081061601",1
"14000US36081061602",1
"14000US36081061800",1
"14000US36081061900",1
"14000US36081062000",1
"14000US36081062100",1
"14000US36081062200",1
"14000US36081062300",1
"14000US36081062400",1
"14000US36081062500",1
"14000US36081062600",1
"14000US36081062700",1
"14000US36081062900",1
"14000US36081063000",1
"14000US36081063200",1
"14000US36081063301",1
"14000US36081063302",1
"14000US36081063500",1
"14000US36081063700",1
"14000US36081063800",1
"14000US36081063900",1
"14000US36081064101",1
"14000US36081064102",1
"14000US36081064500",1
"14000US36081064600",1
"14000US36081065000",1
"14000US36081065400",1
"14000US36081065501",1
"14000US36081065600",1
"14000US36081065702",1
"14000US36081065703",1
"14000US36081065900",1
"14000US36081066000",1
"14000US36081066100",1
"14000US36081066300",1
"14000US36081066400",2
"14000US36081066501",1
"14000US36081066701",1
"14000US36081066900",1
"14000US36081067100",1
"14000US36081067700",1
"14000US36081067900",1
"14000US36081068000",1
"14000US36081068200",1
"14000US36081068300",1
"14000US36081068700",1
"14000US36081069000",1
"14000US36081069300",1
"14000US36081069400",1
"14000US36081069500",1
"14000US36081069701",1
"14000US36081069702",1
"14000US36081070300",1
"14000US36081070700",1
"14000US36081070900",1
"14000US36081071100",1
"14000US36081071303",1
"14000US36081071304",1
"14000US36081071305",1
"14000US36081071306",1
"14000US36081071600",1
"14000US36081071701",1
"14000US36081071702",1
"14000US36081071900",1
"14000US36081072100",1
"14000US36081072300",1
"14000US36081072900",1
"14000US36081073100",1
"14000US36081073700",1
"14000US36081073900",1
"14000US36081074100",1
"14000US36081074300",1
"14000US36081074500",1
"14000US36081074700",1
"14000US36081074900",1
"14000US36081075701",1
"14000US36081075702",1
"14000US36081076901",1
"14000US36081076902",1
"14000US36081077300",1
"14000US36081077500",1
"14000US36081077902",1
"14000US36081077903",1
"14000US36081077904",1
"14000US36081077905",1
"14000US36081077906",1
"14000US36081077907",1
"14000US36081077908",1
"14000US36081078800",1
"14000US36081079000",1
"14000US36081079200",1
"14000US36081079701",2
"14000US36081079702",1
"14000US36081079900",1
"14000US36081080301",1
"14000US36081080302",1
"14000US36081080900",1
"14000US36081081400",1
"14000US36081081800",1
"14000US36081083700",1
"14000US36081083800",1
"14000US36081084000",1
"14000US36081084500",2
"14000US36081084601",1
"14000US36081084602",1
"14000US36081084900",2
"14000US36081085300",1
"14000US36081085500",2
"14000US36081085700",1
"14000US36081085900",1
"14000US36081086100",1
"14000US36081086300",1
"14000US36081086400",1
"14000US36081086500",2
"14000US36081086900",2
"14000US36081087100",3
"14000US36081088400",1
"14000US36081088901",2
"14000US36081089200",1
"14000US36081090700",1
"14000US36081091601",1
"14000US36081091900",1
"14000US36081092200",1
"14000US36081092500",1
"14000US36081092800",1
"14000US36081092900",1
"14000US36081093401",1
"14000US36081093402",1
"14000US36081093800",1
"14000US36081093900",1
"14000US36081094201",1
"14000US36081094202",2
"14000US36081094203",1
"14000US36081094500",1
"14000US36081094700",1
"14000US36081095400",2
"14000US36081096400",2
"14000US36081097202",2
"14000US36081097203",3
"14000US36081097204",2
"14000US36081097300",1
"14000US36081098100",1
"14000US36081098700",1
"14000US36081099100",1
"14000US36081099200",2
"14000US36081099701",1
"14000US36081099703",1
"14000US36081099704",1
"14000US36081099705",1
"14000US36081099801",2
"14000US36081099802",2
"14000US36081100801",1
"14000US36081100802",2
"14000US36081101001",2
"14000US36081101002",2
"14000US36081101700",1
"14000US36081102900",1
"14000US36081103201",3
"14000US36081103202",2
"14000US36081103300",1
"14000US36081103900",1
"14000US36081104700",1
"14000US36081105900",1
"14000US36081107201",1
"14000US36081108500",1
"14000US36081109300",1
"14000US36081109700",1
"14000US36081109900",1
"14000US36081111300",1
"14000US36081112300",1
"14000US36081112900",1
"14000US36081113300",1
"14000US36081113900",1
"14000US36081114100",1
"14000US36081114700",1
"14000US36081115100",1
"14000US36081115500",1
"14000US36081115700",1
"14000US36081115900",1
"14000US36081116100",1
"14000US36081116300",2
"14000US36081116700",1
"14000US36081117100",1
"14000US36081117500",1
"14000US36081118100",1
"14000US36081118500",1
"14000US36081118700",1
"14000US36081118900",1
"14000US36081119100",1
"14000US36081119300",1
"14000US36081119500",1
"14000US36081119900",1
"14000US36081120100",1
"14000US36081120300",1
"14000US36081120500",1
"14000US36081120700",1
"14000US36081121100",1
"14000US36081121500",1
"14000US36081122300",1
"14000US36081122701",2
"14000US36081122702",2
"14000US36081124100",1
"14000US36081124700",1
"14000US36081125700",1
"14000US36081126500",1
"14000US36081126700",1
"14000US36081127700",1
"14000US36081129102",1
"14000US36081129103",1
"14000US36081129104",1
"14000US36081130100",1
"14000US36081133300",1
"14000US36081133900",1
"14000US36081134100",1
"14000US36081134700",1
"14000US36081136700",1
"14000US36081137700",1
"14000US36081138501",1
"14000US36081138502",1
"14000US36081139900",1
"14000US36081140300",1
"14000US36081140901",1
"14000US36081140902",1
"14000US36081141700",1
"14000US36081142900",1
"14000US36081143500",1
"14000US36081144100",1
"14000US36081144700",1
"14000US36081145101",1
"14000US36081145102",1
"14000US36081145900",1
"14000US36081146300",1
"14000US36081146700",1
"14000US36081147100",1
"14000US36081147900",1
"14000US36081148300",1
"14000US36081150701",1
"14000US36081150702",1
"14000US36081152901",1
"14000US36081152902",1
"14000US36081155102",1
"14000US36081156700",1
"14000US36081157101",1
"14000US36081157102",1
"14000US36081157901",1
"14000US36081157902",1
"14000US36081157903",1
"14000US36081161700",1
"14000US36081162100",1
"14000US36085000300",1
"14000US36085000600",1
"14000US36085000700",2
"14000US36085000800",1
"14000US36085000900",1
"14000US36085001100",2
"14000US36085001700",1
"14000US36085002001",1
"14000US36085002002",1
"14000US36085002100",2
"14000US36085002700",1
"14000US36085002900",3
"14000US36085003300",1
"14000US36085003600",1
"14000US36085003900",1
"14000US36085004000",3
"14000US36085004700",1
"14000US36085005000",1
"14000US36085005900",1
"14000US36085006400",1
"14000US36085006700",1
"14000US36085007000",1
"14000US36085007400",1
"14000US36085007500",1
"14000US36085007700",1
"14000US36085008100",2
"14000US36085009601",1
"14000US36085009602",1
"14000US36085009700",1
"14000US36085010500",1
"14000US36085011201",1
"14000US36085011202",2
"14000US36085011401",1
"14000US36085011402",1
"14000US36085012100",1
"14000US36085012200",1
"14000US36085012500",1
"14000US36085012804",1
"14000US36085012805",1
"14000US36085012806",2
"14000US36085013201",1
"14000US36085013203",1
"14000US36085013204",1
"14000US36085013301",2
"14000US36085013302",2
"14000US36085013400",1
"14000US36085013800",1
"14000US36085014100",1
"14000US36085014604",1
"14000US36085014605",1
"14000US36085014606",1
"14000US36085014607",1
"14000US36085014608",1
"14000US36085014700",1
"14000US36085015100",1
"14000US36085015400",1
"14000US36085015601",1
"14000US36085015602",1
"14000US36085015603",1
"14000US36085016901",1
"14000US36085017005",1
"14000US36085017007",1
"14000US36085017008",1
"14000US36085017009",1
"14000US36085017010",1
"14000US36085017011",1
"14000US36085017012",1
"14000US36085017300",1
"14000US36085017600",1
"14000US36085017700",1
"14000US36085018100",1
"14000US36085018701",1
"14000US36085018702",1
"14000US36085018901",1
"14000US36085018902",1
"14000US36085019700",1
"14000US36085019800",1
"14000US36085020100",1
"14000US36085020700",3
"14000US36085020801",1
"14000US36085020803",1
"14000US36085020804",1
"14000US36085021300",2
"14000US36085022300",1
"14000US36085022600",1
"14000US36085023100",1
"14000US36085023900",1
"14000US36085024401",1
"14000US36085024402",1
"14000US36085024700",1
"14000US36085024800",1
"14000US36085025100",1
"14000US36085027301",1
"14000US36085027302",1
"14000US36085027702",1
"14000US36085027704",1
"14000US36085027705",1
"14000US36085027706",1
"14000US36085027900",1
"14000US36085029102",1
"14000US36085029103",1
"14000US36085029104",1
"14000US36085030301",1
"14000US36085030302",1
"14000US36085031901",2
"14000US36085031902",2
"14000US36085032300",1
